model,likelihood,nv,ns,nt,latent_dim,n_hyperparams,block_size,n_blocks,solver,min_nodes_ad,ad_gradient_time_mean,ad_gradient_time_std,ad_n_samples,fd_gradient_time_mean,fd_gradient_time_std,fd_n_samples,fd_n_nodes,per_gradient_speedup,node_seconds_ad,node_seconds_fd,single_eval_fits_1gpu,notes
WA1-small,gaussian,3,1247,2,7485,15,3741,2,BTA,1,0.13072943531442432,0.00021918680698534987,10,2.853504907304887,0.017291943272305016,10,1,21.8,0.130729,2.853505,yes,
WA2-ns282,gaussian,3,282,48,40611,15,846,48,BTA,1,0.46064849439426325,0.00031041710867986996,10,6.262650002102601,0.027261852843565696,10,1,13.6,0.460648,6.262650,yes,
WA1-nt32,gaussian,3,1247,32,119715,15,3741,32,BTA,1,2.539461530582048,0.0016443207982801164,10,22.67321143351728,0.222234719267661,10,1,8.9,2.539462,22.673211,yes,
WA2-ns1119,gaussian,3,1119,48,161139,15,3357,48,BTA,1,3.09716627409216,0.0043635450240113805,10,27.5934858716093,0.08920635299836581,10,1,8.9,3.097166,27.593486,yes,
WA1-nt256,gaussian,3,1247,256,957699,15,3741,256,BTA,1,20.638683343213053,0.013070872224804379,10,171.4303615384968,0.10465589960230412,10,1,8.3,20.638683,171.430362,yes,
WA1-nt64,gaussian,3,1247,64,239427,15,3741,64,BTA,1,5.150090602796991,0.003057279416077247,10,43.848421039595266,0.007187317848927867,10,1,8.5,5.150091,43.848421,yes,
WA2-ns72,gaussian,3,72,48,10371,15,216,48,BTA,1,0.16465887060621753,0.0006227721053267404,10,4.089351469604298,0.07518856486308298,10,1,24.8,0.164659,4.089351,yes,
WA1-nt128,gaussian,3,1247,128,478851,15,3741,128,BTA,1,10.265339054801734,0.002875456855965442,10,86.33549629739136,0.02567761581084067,10,1,8.4,10.265339,86.335496,yes,
