model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
wa2_small,FD,0.5,0,1,1,43,-94561.23452472687,0.4350220672786031,236.23
wa2_small,FD,0.5,1,1,1,28,-94561.22950077057,0.44105692355627313,142.35
wa2_small,FD,0.5,2,1,1,35,-94561.20187282562,0.4731058705700483,167.05
wa2_small,FD,0.5,3,1,1,40,-94561.23062896729,0.4271551748333037,173.63
wa2_small,FD,0.5,4,1,1,43,-94561.22073078156,0.4226835076934653,189.89
wa2_small,FD,0.5,5,1,1,46,-94561.21730852127,0.4225332170338994,214.11
wa2_small,FD,0.5,6,1,1,30,-94561.2346816063,0.4345949476937164,136.15
wa2_small,FD,0.5,7,1,1,35,-94561.22783231735,0.45048433722471914,152.13
wa2_small,FD,0.5,8,1,1,37,-94561.2343621254,0.433588911152263,168.26
wa2_small,FD,0.5,9,1,1,47,-94561.23444318771,0.4346618944942338,208.41
wa2_small,FD,0.5,10,1,1,41,-94561.23425626755,0.4340351892264236,184.15
wa2_small,FD,0.5,11,1,1,28,-94561.2234325409,0.4560895252051965,129.63
wa2_small,FD,0.5,12,1,1,34,-94561.23165273666,0.43203692431875484,158.06
wa2_small,FD,0.5,13,1,1,34,-94561.22182559967,0.4228524745633894,157.62
wa2_small,FD,0.5,14,1,1,36,-94561.17401313782,0.49132240516099185,161.83
wa2_small,FD,0.5,15,1,1,35,-94561.23365497589,0.43108978050770935,157.56
wa2_small,FD,0.5,16,1,1,48,-94561.23440170288,0.4373065983612873,219.23
wa2_small,FD,0.5,17,1,1,32,-94561.22070932388,0.42568484720965516,163.98
wa2_small,FD,0.5,18,1,1,32,-94561.21971130371,0.42274948844075216,173.44
wa2_small,FD,0.5,19,1,1,42,-94561.23468399048,0.4350806684058853,212.89
wa2_small,FD,0.5,20,1,1,46,-94561.23462247849,0.4349187197850269,212.46
wa2_small,FD,0.5,21,1,1,40,-94561.22942495346,0.4378394797774019,174.43
wa2_small,FD,0.5,22,1,1,33,-94561.22796154022,0.42544249505720655,143.6
wa2_small,FD,0.5,23,1,1,34,-94561.22422599792,0.45379625746747776,164.08
wa2_small,FD,0.5,24,1,1,34,-94561.22535896301,0.4295413103288498,151.8
wa2_small,FD,0.5,25,1,1,28,-94561.23194980621,0.44408071942778643,127.45
wa2_small,FD,0.5,26,1,1,33,-94561.212266922,0.4220197710969782,153.25
wa2_small,FD,0.5,27,1,1,25,-94561.21489715576,0.4164398003649258,116.64
wa2_small,FD,0.5,28,1,1,40,-94561.23455810547,0.4371714411222246,176.2
wa2_small,FD,0.5,29,1,1,41,-94561.2176117897,0.42528314891186064,174.85
wa2_small,FD,0.5,30,1,1,37,-94561.22567558289,0.42806970787812326,168.17
wa2_small,FD,0.5,31,1,1,34,-94561.21430683136,0.46426492906536077,152.44
wa2_small,FD,0.5,32,1,1,41,-94561.23442268372,0.43706876759976776,180.32
wa2_small,FD,0.5,33,1,1,41,-94561.21284103394,0.42345739761574774,184.24
wa2_small,FD,0.5,34,1,1,31,-94561.21736478806,0.42270377664743924,143.75
wa2_small,FD,0.5,35,1,1,50,-94561.23450136185,0.434488751319657,229.26
wa2_small,FD,0.5,36,1,1,32,-94561.22983837128,0.4265777476108342,139.15
wa2_small,FD,0.5,37,1,1,46,-94561.23464155197,0.4345816927927887,213.73
wa2_small,FD,0.5,38,1,1,41,-94561.22169017792,0.4248508393315239,225.45
wa2_small,FD,0.5,39,1,1,37,-94561.23437023163,0.4327240596583424,160.05
wa2_small,FD,0.5,40,1,1,34,-94561.2139339447,0.4232352746837627,182.8
wa2_small,FD,0.5,41,1,1,45,-94561.2345995903,0.4359691420519131,213.53
wa2_small,FD,0.5,42,1,1,33,-94561.22434902191,0.4247967853571102,147.83
wa2_small,FD,0.5,43,1,1,33,-94561.22408533096,0.4546519376985124,150.73
wa2_small,FD,0.5,44,1,1,54,-94561.23457670212,0.4364196808543004,274.12
wa2_small,FD,0.5,45,1,1,43,-94561.23460960388,0.4344074071268189,198.73
wa2_small,FD,0.5,46,1,1,44,-94561.22855091095,0.43734559864977,186.41
wa2_small,FD,0.5,47,1,1,30,-94561.23003768921,0.447378294232912,133.78
wa2_small,FD,0.5,48,1,1,33,-94561.22947072983,0.4392677139436449,174.83
wa2_small,FD,0.5,49,1,1,26,-94561.23332452774,0.43031048478230344,126.35
