model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg3_small,FD,10.0,0,1,1,132,-69869.15221118927,0.2739358599683365,493.38
gst_coreg3_small,FD,10.0,1,0,0,0,nan,nan,89.41
gst_coreg3_small,FD,10.0,2,1,1,199,-69869.15334653854,0.3215795295776433,782.13
gst_coreg3_small,FD,10.0,3,1,1,185,-69869.17886543274,0.2980070673998775,704.77
gst_coreg3_small,FD,10.0,4,1,1,146,-69869.17871713638,0.2948080260882763,538.38
gst_coreg3_small,FD,10.0,5,0,0,0,nan,nan,193.45
gst_coreg3_small,FD,10.0,6,1,1,179,-69869.17863559723,0.29430969075551366,656.44
gst_coreg3_small,FD,10.0,7,1,1,185,-69869.17863607407,0.29992572153156,712.49
gst_coreg3_small,FD,10.0,8,0,0,0,nan,nan,513.76
gst_coreg3_small,FD,10.0,9,1,1,134,-69869.17683029175,0.30774169845711935,498.84
gst_coreg3_small,FD,10.0,10,0,0,0,nan,nan,100.63
gst_coreg3_small,FD,10.0,11,0,0,0,nan,nan,292.21
gst_coreg3_small,FD,10.0,12,1,1,123,-69858.40347003937,3.1580287614973863,429.72
gst_coreg3_small,FD,10.0,13,1,1,185,-69869.17871236801,0.3011482675539856,639.23
gst_coreg3_small,FD,10.0,14,0,0,0,nan,nan,59.5
gst_coreg3_small,FD,10.0,15,1,1,200,-69852.33768463135,4.545385057890986,758.49
gst_coreg3_small,FD,10.0,16,0,0,0,nan,nan,234.8
gst_coreg3_small,FD,10.0,17,0,0,0,nan,nan,62.58
gst_coreg3_small,FD,10.0,18,1,1,186,-69869.17894506454,0.2984766773028202,738.4
gst_coreg3_small,FD,10.0,19,1,1,177,-69869.17837142944,0.3036975483270933,687.6
gst_coreg3_small,FD,10.0,20,0,0,0,nan,nan,50.78
gst_coreg3_small,FD,10.0,21,1,1,173,-69869.17765140533,0.30693349231940203,652.25
gst_coreg3_small,FD,10.0,22,1,1,193,-69869.17394542694,0.3142216260803285,653.25
gst_coreg3_small,FD,10.0,23,1,1,182,-69869.16967773438,0.3042217795723239,678.35
gst_coreg3_small,FD,10.0,24,0,0,0,nan,nan,154.33
gst_coreg3_small,FD,10.0,25,0,0,0,nan,nan,213.79
gst_coreg3_small,FD,10.0,26,1,1,140,-69869.17811584473,0.298136490559629,475.92
gst_coreg3_small,FD,10.0,27,1,1,148,-69869.17644834518,0.29920775133097893,505.02
gst_coreg3_small,FD,10.0,28,0,0,0,nan,nan,244.15
gst_coreg3_small,FD,10.0,29,1,1,116,-69869.17921638489,0.30053697408112595,459.88
gst_coreg3_small,FD,10.0,30,0,0,0,nan,nan,64.03
gst_coreg3_small,FD,10.0,31,1,1,161,-69869.16721200943,0.3114619751457849,642.05
gst_coreg3_small,FD,10.0,32,1,1,123,-69869.12385606766,0.3700638084918932,488.41
gst_coreg3_small,FD,10.0,33,0,0,0,nan,nan,57.1
gst_coreg3_small,FD,10.0,34,1,1,162,-69869.174223423,0.2873462616318702,592.04
gst_coreg3_small,FD,10.0,35,0,0,0,nan,nan,96.59
gst_coreg3_small,FD,10.0,36,1,1,130,-69869.1637673378,0.271387913784161,494.54
gst_coreg3_small,FD,10.0,37,1,1,188,-69869.17892885208,0.296750623639499,702.23
gst_coreg3_small,FD,10.0,38,0,0,0,nan,nan,147.6
gst_coreg3_small,FD,10.0,39,1,1,135,-69869.14022016525,0.2724006700212922,467.36
gst_coreg3_small,FD,10.0,40,1,1,190,-69869.17679929733,0.3010438251900875,662.32
gst_coreg3_small,FD,10.0,41,1,1,161,-69869.17893457413,0.29793869646351745,581.39
gst_coreg3_small,FD,10.0,42,0,0,0,nan,nan,405.87
gst_coreg3_small,FD,10.0,43,0,0,0,nan,nan,597.22
gst_coreg3_small,FD,10.0,44,1,0,33,-42577.38224363327,11.887266208993388,185.76
gst_coreg3_small,FD,10.0,45,1,1,120,-69862.6556763649,3.1075626278690813,432.24
gst_coreg3_small,FD,10.0,46,0,0,0,nan,nan,43.57
gst_coreg3_small,FD,10.0,47,0,0,0,nan,nan,404.85
gst_coreg3_small,FD,10.0,48,1,1,163,-69869.17847633362,0.3017903580607366,528.38
gst_coreg3_small,FD,10.0,49,1,1,200,-69869.16381931305,0.28404186596794284,746.15
