model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg3_small,FD,0.5,0,1,1,106,-69869.17330360413,0.2884818621171731,354.99
gst_coreg3_small,FD,0.5,1,1,1,90,-69869.177901268,0.3080986508114805,279.83
gst_coreg3_small,FD,0.5,2,1,1,72,-69869.15173149109,0.28909393438357434,226.16
gst_coreg3_small,FD,0.5,3,1,1,85,-69869.17611598969,0.29461687595341923,270.04
gst_coreg3_small,FD,0.5,4,1,1,74,-69869.15955162048,0.2973433888203002,239.47
gst_coreg3_small,FD,0.5,5,1,1,85,-69869.1480975151,0.3229035564304279,264.64
gst_coreg3_small,FD,0.5,6,1,1,88,-69869.17499780655,0.3163893645950137,275.4
gst_coreg3_small,FD,0.5,7,1,1,71,-69869.15852403641,0.2981286246808621,223.65
gst_coreg3_small,FD,0.5,8,1,1,100,-69869.13455533981,0.28987389963842036,310.94
gst_coreg3_small,FD,0.5,9,1,1,70,-69869.15876340866,0.2776345555579364,261.04
gst_coreg3_small,FD,0.5,10,1,1,74,-69869.1120595932,0.28869512733938085,287.51
gst_coreg3_small,FD,0.5,11,1,1,70,-69869.16785669327,0.32590402095832816,253.04
gst_coreg3_small,FD,0.5,12,1,1,56,-69869.176404953,0.2910650506241265,177.7
gst_coreg3_small,FD,0.5,13,1,1,134,-69869.17865943909,0.30225715669959397,411.77
gst_coreg3_small,FD,0.5,14,1,1,80,-69869.15923118591,0.2871950668575569,255.75
gst_coreg3_small,FD,0.5,15,1,1,143,-69869.1760892868,0.29516897321517593,529.52
gst_coreg3_small,FD,0.5,16,1,1,66,-69869.15836191177,0.279658958405781,251.21
gst_coreg3_small,FD,0.5,17,1,1,68,-69869.16052007675,0.26427131381851215,217.93
gst_coreg3_small,FD,0.5,18,1,1,111,-69869.17878437042,0.2990911714005079,367.34
gst_coreg3_small,FD,0.5,19,1,1,54,-69869.13336515427,0.26320581427159384,165.47
gst_coreg3_small,FD,0.5,20,1,1,41,-69869.16211891174,0.28928795031084825,127.87
gst_coreg3_small,FD,0.5,21,1,1,58,-69869.15923500061,0.2899940710438319,190.33
gst_coreg3_small,FD,0.5,22,1,1,79,-69869.10475635529,0.26888280392578995,253.82
gst_coreg3_small,FD,0.5,23,1,1,62,-69869.1564321518,0.2836380435821697,234.52
gst_coreg3_small,FD,0.5,24,1,1,45,-69869.1662273407,0.2788092918785129,142.22
gst_coreg3_small,FD,0.5,25,1,1,74,-69869.15025663376,0.2966686274441918,232.81
gst_coreg3_small,FD,0.5,26,1,1,86,-69869.17712306976,0.2950125764615509,279.04
gst_coreg3_small,FD,0.5,27,1,1,79,-69869.17817878723,0.3053417395552687,267.34
gst_coreg3_small,FD,0.5,28,1,1,57,-69869.14481401443,0.2636481959939404,219.84
gst_coreg3_small,FD,0.5,29,1,1,43,-69869.05064439774,0.22028998931822283,168.51
gst_coreg3_small,FD,0.5,30,1,1,52,-69869.17618989944,0.29733388592095406,192.97
gst_coreg3_small,FD,0.5,31,1,1,76,-69869.15206241608,0.27689355419680867,300.41
gst_coreg3_small,FD,0.5,32,1,1,51,-69869.17800807953,0.30284705985335214,183.44
gst_coreg3_small,FD,0.5,33,1,1,69,-69869.13995599747,0.28517271809749056,221.41
gst_coreg3_small,FD,0.5,34,1,1,80,-69869.1345500946,0.2999629831188149,257.48
gst_coreg3_small,FD,0.5,35,1,1,34,-69869.16160726547,0.2643352828134232,111.51
gst_coreg3_small,FD,0.5,36,1,1,91,-69869.15734243393,0.3045804684703861,286.19
gst_coreg3_small,FD,0.5,37,1,1,48,-69869.16869831085,0.29400579569121155,158.85
gst_coreg3_small,FD,0.5,38,1,1,64,-69869.1705904007,0.2891475341564761,204.78
gst_coreg3_small,FD,0.5,39,1,1,83,-69869.17297458649,0.2888327653909828,259.86
gst_coreg3_small,FD,0.5,40,1,1,97,-69869.13079929352,0.28827654090325483,293.23
gst_coreg3_small,FD,0.5,41,1,1,55,-69869.16360330582,0.26777048380536866,174.05
gst_coreg3_small,FD,0.5,42,1,1,72,-69869.0907034874,0.2803739717529075,229.55
gst_coreg3_small,FD,0.5,43,1,1,70,-69869.13062000275,0.26633940745804724,221.36
gst_coreg3_small,FD,0.5,44,1,1,41,-69869.14396905899,0.27207718735942676,121.79
gst_coreg3_small,FD,0.5,45,1,1,89,-69869.11756515503,0.2962057266183122,281.93
gst_coreg3_small,FD,0.5,46,1,1,60,-69869.15436553955,0.2943856063153312,182.55
gst_coreg3_small,FD,0.5,47,1,1,72,-69869.15434217453,0.2745587562908627,226.98
gst_coreg3_small,FD,0.5,48,1,1,66,-69869.15513038635,0.2860150672083161,202.03
gst_coreg3_small,FD,0.5,49,1,1,57,-69869.15919923782,0.3256907079238485,173.04
