model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
wa2_small,AD,2.0,0,1,1,48,-94561.2196483612,0.4376156675358793,45.3
wa2_small,AD,2.0,1,1,1,58,-94561.23448467255,0.435443427894904,47.66
wa2_small,AD,2.0,2,1,1,65,-94561.23454856873,0.4357257264985265,47.48
wa2_small,AD,2.0,3,1,1,50,-94561.22912549973,0.42470035251453847,45.79
wa2_small,AD,2.0,4,1,1,42,-94561.2249622345,0.42521106381852547,43.7
wa2_small,AD,2.0,5,1,1,53,-94561.23458099365,0.4356721399498612,45.48
wa2_small,AD,2.0,6,1,1,40,-94561.21861600876,0.4177743728448551,43.99
wa2_small,AD,2.0,7,1,1,47,-94561.23434734344,0.43557574498416346,44.91
wa2_small,AD,2.0,8,1,1,48,-94561.23467826843,0.4349040157811846,45.63
wa2_small,AD,2.0,9,1,1,43,-94561.23030424118,0.43860295473673316,45.63
wa2_small,AD,2.0,10,1,1,41,-94561.20866250992,0.42316053375968854,45.05
wa2_small,AD,2.0,11,1,1,60,-94561.23265981674,0.4321197841306963,47.01
wa2_small,AD,2.0,12,1,1,47,-94561.23443126678,0.4354528461871011,44.89
wa2_small,AD,2.0,13,1,1,47,-94561.19496297836,0.47381440653370843,44.21
wa2_small,AD,2.0,14,1,1,59,-94561.23422288895,0.43523511322929626,46.44
wa2_small,AD,2.0,15,1,1,60,-94561.23465251923,0.43451978242845135,47.77
wa2_small,AD,2.0,16,1,1,42,-94561.2340683937,0.4318692311453709,43.79
wa2_small,AD,2.0,17,1,1,41,-94561.23232269287,0.42825964554896406,45.11
wa2_small,AD,2.0,18,1,1,47,-94561.2323884964,0.44043506127859017,47.83
wa2_small,AD,2.0,19,1,1,56,-94561.23451519012,0.43353114317679725,45.05
wa2_small,AD,2.0,20,1,1,53,-94561.23447465897,0.434823644390136,44.51
wa2_small,AD,2.0,21,1,1,56,-94561.23458766937,0.4353528374642566,44.99
wa2_small,AD,2.0,22,1,1,38,-94561.23200082779,0.443496441641255,41.71
wa2_small,AD,2.0,23,1,1,59,-94561.23467111588,0.43480778179690194,44.98
wa2_small,AD,2.0,24,1,1,50,-94561.22805023193,0.4235732887987726,46.93
wa2_small,AD,2.0,25,1,1,57,-94561.23461818695,0.4343653276351202,47.05
wa2_small,AD,2.0,26,1,1,64,-94561.23466587067,0.4352130915421519,48.98
wa2_small,AD,2.0,27,1,1,42,-94561.23261260986,0.4410747667605135,44.44
wa2_small,AD,2.0,28,1,1,61,-94561.2337846756,0.4379628521226125,47.59
wa2_small,AD,2.0,29,1,1,55,-94561.23464488983,0.4352045420976843,46.55
wa2_small,AD,2.0,30,1,1,39,-94561.23280858994,0.4292420308758626,43.84
wa2_small,AD,2.0,31,1,1,57,-94561.23410129547,0.4379408278776192,46.86
wa2_small,AD,2.0,32,1,1,54,-94561.23446893692,0.43440539923068,46.38
wa2_small,AD,2.0,33,1,1,41,-94561.21971035004,0.42309647179058546,44.79
wa2_small,AD,2.0,34,1,1,51,-94561.2346291542,0.4344754105109302,45.89
wa2_small,AD,2.0,35,1,1,49,-94561.23163843155,0.44027732927959756,45.4
wa2_small,AD,2.0,36,1,1,57,-94561.23420715332,0.4338317010191639,45.53
wa2_small,AD,2.0,37,1,1,47,-94561.23361444473,0.4307941390238191,48.22
wa2_small,AD,2.0,38,1,1,59,-94561.23463773727,0.43487970213323657,49.15
wa2_small,AD,2.0,39,1,1,53,-94561.23433876038,0.4348728586846574,46.61
wa2_small,AD,2.0,40,1,1,41,-94561.21691799164,0.42487946873923177,44.15
wa2_small,AD,2.0,41,1,1,42,-94561.22006416321,0.43653391737211056,42.23
wa2_small,AD,2.0,42,1,1,36,-94561.22295331955,0.45283970985995986,41.18
wa2_small,AD,2.0,43,1,1,60,-94561.23435640335,0.43567994636341284,48.3
wa2_small,AD,2.0,44,1,1,45,-94561.23062896729,0.42684143945373676,45.91
wa2_small,AD,2.0,45,1,1,42,-94561.23024606705,0.4278773955948616,46.1
wa2_small,AD,2.0,46,1,1,56,-94561.23437356949,0.43431247326022737,47.01
wa2_small,AD,2.0,47,1,1,52,-94561.2345366478,0.43577238828362513,46.14
wa2_small,AD,2.0,48,1,1,45,-94561.22857999802,0.4208147560676966,44.73
wa2_small,AD,2.0,49,1,1,52,-94561.23431158066,0.4332208959808366,46.11
