model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
wa2_small,FD,2.0,0,1,1,52,-94561.23421573639,0.43233526472016204,237.41
wa2_small,FD,2.0,1,1,1,61,-94561.2346162796,0.43569423189972045,325.17
wa2_small,FD,2.0,2,1,1,62,-94561.23446273804,0.4359180233957541,349.43
wa2_small,FD,2.0,3,1,1,49,-94561.22931957245,0.4251991176546491,275.84
wa2_small,FD,2.0,4,1,1,41,-94561.22492313385,0.42527596347483343,212.42
wa2_small,FD,2.0,5,1,1,55,-94561.2340927124,0.4327098800033042,255.83
wa2_small,FD,2.0,6,1,1,40,-94561.21866512299,0.4177797344929477,188.37
wa2_small,FD,2.0,7,1,1,52,-94561.2346405983,0.43459314718397596,263.25
wa2_small,FD,2.0,8,1,1,49,-94561.23467254639,0.43486905091217265,249.01
wa2_small,FD,2.0,9,1,1,43,-94561.23032188416,0.4389571462560299,216.95
wa2_small,FD,2.0,10,1,1,42,-94561.20891857147,0.42330654229155656,249.94
wa2_small,FD,2.0,11,1,1,53,-94561.23374605179,0.432318454710819,254.74
wa2_small,FD,2.0,12,1,1,48,-94561.23431444168,0.43547175647299385,237.53
wa2_small,FD,2.0,13,1,1,46,-94561.19398546219,0.47523179568666285,233.31
wa2_small,FD,2.0,14,1,1,57,-94561.23383903503,0.43420340259110185,275.93
wa2_small,FD,2.0,15,1,1,60,-94561.2346739769,0.4348353980107809,256.29
wa2_small,FD,2.0,16,1,1,42,-94561.23427724838,0.43240605814687055,173.23
wa2_small,FD,2.0,17,1,1,44,-94561.23238372803,0.4271804690416153,216.85
wa2_small,FD,2.0,18,1,1,46,-94561.2320933342,0.4430111232313711,226.66
wa2_small,FD,2.0,19,1,1,58,-94561.23461341858,0.4344113352280451,302.08
wa2_small,FD,2.0,20,1,1,53,-94561.23449516296,0.4351785345608122,221.88
wa2_small,FD,2.0,21,1,1,55,-94561.23468780518,0.43484465895664026,237.09
wa2_small,FD,2.0,22,1,1,38,-94561.23200178146,0.4435674607234771,164.22
wa2_small,FD,2.0,23,1,1,59,-94561.23452472687,0.4343961287527534,311.39
wa2_small,FD,2.0,24,1,1,49,-94561.2275800705,0.4246695111601288,262.56
wa2_small,FD,2.0,25,1,1,58,-94561.23457336426,0.4338375707334051,283.84
wa2_small,FD,2.0,26,1,1,74,-94561.2345585823,0.4352449020982622,325.18
wa2_small,FD,2.0,27,1,1,43,-94561.23288631439,0.4414631392279575,254.07
wa2_small,FD,2.0,28,1,1,62,-94561.23402118683,0.43289666771640783,304.55
wa2_small,FD,2.0,29,1,1,55,-94561.23463010788,0.43465814009021775,300.57
wa2_small,FD,2.0,30,1,1,39,-94561.23282384872,0.4292240562150639,228.92
wa2_small,FD,2.0,31,1,1,63,-94561.23431587219,0.4360427858769632,362.3
wa2_small,FD,2.0,32,1,1,54,-94561.2344956398,0.43377650959046915,258.87
wa2_small,FD,2.0,33,1,1,39,-94561.21930456161,0.4230196264377223,160.12
wa2_small,FD,2.0,34,1,1,51,-94561.2345905304,0.43530189857101337,215.25
wa2_small,FD,2.0,35,1,1,47,-94561.23203992844,0.4390287392220298,206.79
wa2_small,FD,2.0,36,1,1,57,-94561.23422431946,0.43703536114422165,308.31
wa2_small,FD,2.0,37,1,1,48,-94561.23370790482,0.4314455898044113,268.28
wa2_small,FD,2.0,38,1,1,49,-94561.21001005173,0.4328146075161039,272.64
wa2_small,FD,2.0,39,1,1,53,-94561.23435163498,0.4361568651344986,258.03
wa2_small,FD,2.0,40,1,1,42,-94561.21723651886,0.42271944976041637,209.83
wa2_small,FD,2.0,41,1,1,43,-94561.22035741806,0.4373620906969238,205.34
wa2_small,FD,2.0,42,1,1,36,-94561.2229628563,0.45278607125846454,195.21
wa2_small,FD,2.0,43,1,1,55,-94561.2346405983,0.4349134315389933,282.92
wa2_small,FD,2.0,44,1,1,45,-94561.23046779633,0.42738000773551993,201.03
wa2_small,FD,2.0,45,1,1,43,-94561.2310423851,0.4313243151546581,248.96
wa2_small,FD,2.0,46,1,1,53,-94561.23467826843,0.43488216047735906,274.22
wa2_small,FD,2.0,47,1,1,52,-94561.23446083069,0.43544896357021323,274.62
wa2_small,FD,2.0,48,1,1,45,-94561.22855091095,0.420764207553762,191.72
wa2_small,FD,2.0,49,1,1,50,-94561.23461484909,0.43510394332733615,210.44
