model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
wa2_small,AD,1.0,0,1,1,41,-94561.20959329605,0.4318183204138028,41.58
wa2_small,AD,1.0,1,1,1,51,-94561.23461437225,0.43431652926883524,43.5
wa2_small,AD,1.0,2,1,1,51,-94561.2343287468,0.4360097114997182,42.98
wa2_small,AD,1.0,3,1,1,46,-94561.23446178436,0.4334045401369105,42.01
wa2_small,AD,1.0,4,1,1,40,-94561.23139858246,0.43585963091619345,41.13
wa2_small,AD,1.0,5,1,1,46,-94561.22360801697,0.423179465246981,42.48
wa2_small,AD,1.0,6,1,1,40,-94561.22009515762,0.4165853982992588,41.68
wa2_small,AD,1.0,7,1,1,53,-94561.23431873322,0.43440368602667834,43.46
wa2_small,AD,1.0,8,1,1,41,-94561.22657299042,0.45002108856610523,40.51
wa2_small,AD,1.0,9,1,1,45,-94561.23409557343,0.43861093655273803,45.4
wa2_small,AD,1.0,10,1,1,35,-94561.19475650787,0.42368724007092307,41.93
wa2_small,AD,1.0,11,1,1,48,-94561.23460102081,0.4355302087136362,43.3
wa2_small,AD,1.0,12,1,1,37,-94561.23426532745,0.43260342615897374,41.54
wa2_small,AD,1.0,13,1,1,42,-94561.22871112823,0.42549634748876897,42.48
wa2_small,AD,1.0,14,1,1,53,-94561.23395681381,0.4380372976259388,42.38
wa2_small,AD,1.0,15,1,1,38,-94561.22932291031,0.4474527198012021,41.11
wa2_small,AD,1.0,16,1,1,41,-94561.23194646835,0.43846967937691733,41.85
wa2_small,AD,1.0,17,1,1,46,-94561.22712182999,0.4389234219654901,42.2
wa2_small,AD,1.0,18,1,1,37,-94561.22183990479,0.42319352837388263,40.51
wa2_small,AD,1.0,19,1,1,36,-94561.23281049728,0.427827096025103,39.9
wa2_small,AD,1.0,20,1,1,40,-94561.22533130646,0.4204519432639701,40.59
wa2_small,AD,1.0,21,1,1,55,-94561.23427534103,0.43346408636364864,43.59
wa2_small,AD,1.0,22,1,1,37,-94561.23365449905,0.43063238759623823,40.28
wa2_small,AD,1.0,23,1,1,55,-94561.23466920853,0.4353474889494087,42.88
wa2_small,AD,1.0,24,1,1,33,-94561.21059274673,0.4148756005926935,39.72
wa2_small,AD,1.0,25,1,1,49,-94561.23467826843,0.4352500266025218,43.17
wa2_small,AD,1.0,26,1,1,36,-94561.23084688187,0.4425726530070508,40.64
wa2_small,AD,1.0,27,1,1,34,-94561.23260784149,0.4278912156200543,39.98
wa2_small,AD,1.0,28,1,1,42,-94561.21663379669,0.4629121426641717,40.9
wa2_small,AD,1.0,29,1,1,51,-94561.23447036743,0.4355202422516306,43.13
wa2_small,AD,1.0,30,1,1,30,-94561.21910572052,0.4232592405891239,39.41
wa2_small,AD,1.0,31,1,1,55,-94561.23462963104,0.43519225213059043,43.67
wa2_small,AD,1.0,32,1,1,36,-94561.2282910347,0.4227537637001478,40.83
wa2_small,AD,1.0,33,1,1,39,-94561.20650100708,0.42222435782527346,40.93
wa2_small,AD,1.0,34,1,1,34,-94561.21702337265,0.42182952758896936,40.36
wa2_small,AD,1.0,35,1,1,42,-94561.22031593323,0.4387341466962108,41.82
wa2_small,AD,1.0,36,1,1,40,-94561.23440027237,0.43778196955738313,41.39
wa2_small,AD,1.0,37,1,1,47,-94561.2345995903,0.43411915659518374,42.35
wa2_small,AD,1.0,38,1,1,39,-94561.22527503967,0.4242329250856035,40.68
wa2_small,AD,1.0,39,1,1,41,-94561.22375869751,0.4552528919836577,40.61
wa2_small,AD,1.0,40,1,1,37,-94561.21228170395,0.4209940308455679,40.43
wa2_small,AD,1.0,41,1,1,47,-94561.23377799988,0.4344040124926138,43.06
wa2_small,AD,1.0,42,1,1,38,-94561.22811937332,0.42678114703144254,40.78
wa2_small,AD,1.0,43,1,1,48,-94561.23434877396,0.43629067425750145,42.84
wa2_small,AD,1.0,44,1,1,44,-94561.2324719429,0.43960022912145463,41.62
wa2_small,AD,1.0,45,1,1,46,-94561.23460149765,0.43617764463281283,42.08
wa2_small,AD,1.0,46,1,1,48,-94561.2344713211,0.4352281143970917,42.61
wa2_small,AD,1.0,47,1,1,49,-94561.23468351364,0.4349935621643141,42.51
wa2_small,AD,1.0,48,1,1,53,-94561.23460865021,0.4353628501376725,43.16
wa2_small,AD,1.0,49,1,1,38,-94561.22625732422,0.44923379077662345,41.03
