model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg2_small,FD,5.0,0,1,1,54,-28083.222404628992,3.252411586044336,90.38
gst_coreg2_small,FD,5.0,1,1,1,51,-28083.222402602434,3.252443056283741,78.24
gst_coreg2_small,FD,5.0,2,1,1,57,-28083.22239342332,3.2524352593047103,94.91
gst_coreg2_small,FD,5.0,3,0,0,0,nan,nan,23.13
gst_coreg2_small,FD,5.0,4,1,1,51,-28083.222393512726,3.252460160440985,81.07
gst_coreg2_small,FD,5.0,5,1,1,54,-28083.222087353468,3.252171207131694,83.45
gst_coreg2_small,FD,5.0,6,1,1,45,-28083.22240138054,3.2524218016854465,79.0
gst_coreg2_small,FD,5.0,7,1,1,52,-28083.22240307927,3.2524210765151933,116.28
gst_coreg2_small,FD,5.0,8,1,1,72,-28083.222401082516,3.2524127736060757,142.92
gst_coreg2_small,FD,5.0,9,1,1,55,-28083.22240611911,3.252441518158567,94.65
gst_coreg2_small,FD,5.0,10,1,1,53,-28083.221874445677,3.252334237366678,113.1
gst_coreg2_small,FD,5.0,11,1,1,43,-28083.222234606743,3.2525417109397408,73.01
gst_coreg2_small,FD,5.0,12,1,1,54,-28083.22234722972,3.25248608417269,95.65
gst_coreg2_small,FD,5.0,13,1,1,61,-28083.222228378057,3.2525681912456776,117.58
gst_coreg2_small,FD,5.0,14,1,1,47,-28083.22240653634,3.252434304089156,94.65
gst_coreg2_small,FD,5.0,15,0,0,0,nan,nan,44.54
gst_coreg2_small,FD,5.0,16,1,1,44,-28083.222398161888,3.252449446757186,76.19
gst_coreg2_small,FD,5.0,17,1,1,56,-28083.222392439842,3.252398918473739,112.5
gst_coreg2_small,FD,5.0,18,1,1,47,-28083.222397953272,3.2524382899613613,96.23
gst_coreg2_small,FD,5.0,19,1,1,48,-28083.22240048647,3.252477944493758,81.91
gst_coreg2_small,FD,5.0,20,1,1,40,-28083.222392052412,3.2524311393428618,60.82
gst_coreg2_small,FD,5.0,21,1,1,48,-28083.222329825163,3.252405417529944,82.7
gst_coreg2_small,FD,5.0,22,1,1,47,-28083.222351551056,3.252464946876934,78.57
gst_coreg2_small,FD,5.0,23,0,0,0,nan,nan,23.95
gst_coreg2_small,FD,5.0,24,1,1,52,-28083.222326278687,3.252418884640494,99.9
gst_coreg2_small,FD,5.0,25,1,1,46,-28083.22239845991,3.252454147174395,80.96
gst_coreg2_small,FD,5.0,26,1,1,62,-28083.22237712145,3.252388792195592,123.52
gst_coreg2_small,FD,5.0,27,1,1,54,-28083.22232273221,3.2524832208013517,92.87
gst_coreg2_small,FD,5.0,28,1,1,51,-28083.22227755189,3.252654083889712,77.67
gst_coreg2_small,FD,5.0,29,1,1,42,-28083.220342963934,3.251484300249165,69.21
gst_coreg2_small,FD,5.0,30,1,1,58,-28083.22236454487,3.2524675215306638,89.44
gst_coreg2_small,FD,5.0,31,0,0,0,nan,nan,14.13
gst_coreg2_small,FD,5.0,32,1,1,47,-28083.22234851122,3.252250522286697,67.59
gst_coreg2_small,FD,5.0,33,1,1,55,-28083.222368478775,3.2525135990643204,86.67
gst_coreg2_small,FD,5.0,34,1,1,41,-28083.222213476896,3.2524698740587623,61.08
gst_coreg2_small,FD,5.0,35,1,1,58,-28083.22229078412,3.2523631743904815,83.96
gst_coreg2_small,FD,5.0,36,1,1,56,-28083.222406446934,3.2524406375486925,86.82
gst_coreg2_small,FD,5.0,37,0,0,0,nan,nan,24.43
gst_coreg2_small,FD,5.0,38,1,1,46,-28083.22240307927,3.2524255640031607,69.14
gst_coreg2_small,FD,5.0,39,1,1,45,-28083.222399026155,3.2524137249273473,76.79
gst_coreg2_small,FD,5.0,40,1,1,56,-28083.221819132566,3.252227256592497,95.37
gst_coreg2_small,FD,5.0,41,1,1,51,-28083.222383648157,3.2523945800037017,77.52
gst_coreg2_small,FD,5.0,42,1,1,56,-28083.22238790989,3.2524027188550964,91.23
gst_coreg2_small,FD,5.0,43,1,1,49,-28083.22239458561,3.252443005459708,96.32
gst_coreg2_small,FD,5.0,44,1,1,46,-28083.221490710974,3.252225342393027,77.71
gst_coreg2_small,FD,5.0,45,1,1,52,-28083.22192236781,3.252340653216905,91.26
gst_coreg2_small,FD,5.0,46,0,0,0,nan,nan,75.44
gst_coreg2_small,FD,5.0,47,1,1,53,-28083.222390949726,3.252470846196843,85.32
gst_coreg2_small,FD,5.0,48,1,1,52,-28083.222405701876,3.252427334091282,79.74
gst_coreg2_small,FD,5.0,49,0,0,0,nan,nan,48.89
