model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
wa2_small,FD,10.0,0,1,1,81,-94561.23463058472,0.4359393134310584,376.47
wa2_small,FD,10.0,1,0,0,0,nan,nan,670.44
wa2_small,FD,10.0,2,0,0,0,nan,nan,88.54
wa2_small,FD,10.0,3,1,1,110,-94561.23466682434,0.4358281193851017,524.11
wa2_small,FD,10.0,4,1,1,117,-94561.23441886902,0.4328005130703856,606.09
wa2_small,FD,10.0,5,0,0,0,nan,nan,216.68
wa2_small,FD,10.0,6,1,1,125,-94561.234333992,0.43377850402190116,612.51
wa2_small,FD,10.0,7,1,1,96,-94561.234623909,0.43456051211554536,458.64
wa2_small,FD,10.0,8,1,1,116,-94561.23463630676,0.43585659023069756,542.11
wa2_small,FD,10.0,9,0,0,0,nan,nan,52.38
wa2_small,FD,10.0,10,1,1,90,-94561.22177696228,0.45364001305418383,440.21
wa2_small,FD,10.0,11,1,1,84,-94561.23464107513,0.43480804785950705,372.41
wa2_small,FD,10.0,12,1,1,120,-94561.23461198807,0.43497212366766796,566.51
wa2_small,FD,10.0,13,1,1,104,-94561.23450803757,0.4349243893600127,524.7
wa2_small,FD,10.0,14,1,1,98,-94561.23456430435,0.43578682159249743,558.56
wa2_small,FD,10.0,15,0,0,0,nan,nan,229.51
wa2_small,FD,10.0,16,1,1,111,-94561.23393344879,0.43180757492335203,548.24
wa2_small,FD,10.0,17,0,0,0,nan,nan,371.3
wa2_small,FD,10.0,18,1,1,122,-94561.23465585709,0.435698876992587,655.79
wa2_small,FD,10.0,19,0,0,0,nan,nan,367.6
wa2_small,FD,10.0,20,1,1,108,-94561.23162031174,0.4280576425633268,591.67
wa2_small,FD,10.0,21,1,1,107,-94561.23462200165,0.4354514334285042,495.02
wa2_small,FD,10.0,22,1,1,73,-94561.22770357132,0.44712849709312374,431.69
wa2_small,FD,10.0,23,1,1,93,-94561.23440217972,0.435702235728912,560.37
wa2_small,FD,10.0,24,0,0,0,nan,nan,261.0
wa2_small,FD,10.0,25,1,1,101,-94561.23458003998,0.4352117030004459,471.13
wa2_small,FD,10.0,26,1,1,99,-94561.2345957756,0.43474469900949636,513.83
wa2_small,FD,10.0,27,1,1,66,-94561.22881412506,0.425291906847809,279.02
wa2_small,FD,10.0,28,1,1,114,-94561.23467206955,0.4351082414265993,568.98
wa2_small,FD,10.0,29,0,0,0,nan,nan,93.09
wa2_small,FD,10.0,30,1,1,77,-94561.23247528076,0.44219647688087554,348.43
wa2_small,FD,10.0,31,1,1,96,-94561.23421859741,0.4354738902088451,534.99
wa2_small,FD,10.0,32,1,1,82,-94561.23418283463,0.43253112031437274,396.79
wa2_small,FD,10.0,33,1,1,80,-94561.23458862305,0.4356276734071039,375.3
wa2_small,FD,10.0,34,1,1,89,-94561.2345700264,0.43624955589206915,415.22
wa2_small,FD,10.0,35,1,1,178,-94561.23456859589,0.43412639603835185,896.47
wa2_small,FD,10.0,36,1,1,101,-94561.23441696167,0.43587842304937763,532.86
wa2_small,FD,10.0,37,0,0,0,nan,nan,543.95
wa2_small,FD,10.0,38,1,1,117,-94561.2345046997,0.4354671549522527,594.78
wa2_small,FD,10.0,39,0,0,0,nan,nan,120.52
wa2_small,FD,10.0,40,0,0,0,nan,nan,316.45
wa2_small,FD,10.0,41,0,0,0,nan,nan,214.05
wa2_small,FD,10.0,42,0,0,0,nan,nan,206.02
wa2_small,FD,10.0,43,1,1,106,-94561.23455953598,0.43471623814015475,547.75
wa2_small,FD,10.0,44,1,1,144,-94561.23436546326,0.4326901914068295,729.26
wa2_small,FD,10.0,45,1,1,110,-94561.23433303833,0.43356640890178927,532.66
wa2_small,FD,10.0,46,1,1,130,-94561.23409318924,0.43200858987714186,680.45
wa2_small,FD,10.0,47,0,0,0,nan,nan,214.44
wa2_small,FD,10.0,48,0,0,0,nan,nan,237.81
wa2_small,FD,10.0,49,1,1,97,-94561.23461771011,0.43588526047630866,454.02
