model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg3_small,FD,7.0,0,1,1,117,-69869.17908000946,0.2979908314891953,459.15
gst_coreg3_small,FD,7.0,1,0,0,0,nan,nan,68.98
gst_coreg3_small,FD,7.0,2,0,0,0,nan,nan,373.28
gst_coreg3_small,FD,7.0,3,1,1,143,-69869.1782655716,0.29704724622709844,508.96
gst_coreg3_small,FD,7.0,4,1,1,104,-69869.15922927856,0.2827236860157004,368.35
gst_coreg3_small,FD,7.0,5,1,1,165,-69869.17878389359,0.30499269323980394,596.77
gst_coreg3_small,FD,7.0,6,1,1,159,-69869.1791434288,0.29832748582095053,581.58
gst_coreg3_small,FD,7.0,7,1,1,111,-69869.02877855301,0.2757026733311592,400.1
gst_coreg3_small,FD,7.0,8,1,1,144,-69869.17778730392,0.29426989252421193,558.71
gst_coreg3_small,FD,7.0,9,1,1,105,-69869.17561101913,0.30464827453420606,366.91
gst_coreg3_small,FD,7.0,10,1,1,171,-69869.17889547348,0.29940672250639006,581.53
gst_coreg3_small,FD,7.0,11,0,0,0,nan,nan,195.35
gst_coreg3_small,FD,7.0,12,1,1,155,-69869.17912864685,0.29796813967946245,564.48
gst_coreg3_small,FD,7.0,13,1,1,140,-69869.17346811295,0.2837760171032367,501.73
gst_coreg3_small,FD,7.0,14,0,0,0,nan,nan,328.69
gst_coreg3_small,FD,7.0,15,1,1,138,-69869.1473326683,0.2911056642607812,556.69
gst_coreg3_small,FD,7.0,16,1,1,104,-69869.07323789597,0.33105621322843465,350.15
gst_coreg3_small,FD,7.0,17,0,0,0,nan,nan,47.48
gst_coreg3_small,FD,7.0,18,1,1,174,-69869.17622327805,0.30464474164536054,603.18
gst_coreg3_small,FD,7.0,19,1,1,137,-69869.17867946625,0.30170205593631383,496.6
gst_coreg3_small,FD,7.0,20,1,1,151,-69869.1777009964,0.2935684428126781,516.15
gst_coreg3_small,FD,7.0,21,1,1,138,-69869.15594005585,0.2781646132514742,479.41
gst_coreg3_small,FD,7.0,22,1,1,141,-69869.17768383026,0.2988943859711125,492.42
gst_coreg3_small,FD,7.0,23,1,1,111,-69869.17578172684,0.31366527136703576,397.0
gst_coreg3_small,FD,7.0,24,1,1,169,-69869.17767095566,0.3048726183895269,648.14
gst_coreg3_small,FD,7.0,25,1,1,154,-69869.17914104462,0.29889723489349496,585.22
gst_coreg3_small,FD,7.0,26,1,1,157,-69869.1774983406,0.2992598417607596,618.55
gst_coreg3_small,FD,7.0,27,1,1,133,-69869.17779684067,0.3028447653731223,485.86
gst_coreg3_small,FD,7.0,28,1,1,138,-69869.17724370956,0.30738831571516734,512.84
gst_coreg3_small,FD,7.0,29,1,1,93,-69869.16317510605,0.3398825571604025,388.74
gst_coreg3_small,FD,7.0,30,1,1,140,-69869.17801332474,0.3026535409554637,506.57
gst_coreg3_small,FD,7.0,31,1,1,186,-69869.17938137054,0.300537937812995,675.88
gst_coreg3_small,FD,7.0,32,1,1,133,-69869.16973590851,0.3013210666512769,443.99
gst_coreg3_small,FD,7.0,33,1,1,147,-69869.17870235443,0.29599448829073705,481.3
gst_coreg3_small,FD,7.0,34,1,1,143,-69869.17814588547,0.2945542791976105,492.95
gst_coreg3_small,FD,7.0,35,1,1,94,-69869.10327625275,0.3848053689699439,298.07
gst_coreg3_small,FD,7.0,36,1,1,147,-69869.15242052078,0.33577871395022896,527.21
gst_coreg3_small,FD,7.0,37,0,0,0,nan,nan,85.22
gst_coreg3_small,FD,7.0,38,1,1,136,-69869.17776918411,0.296026158978359,513.85
gst_coreg3_small,FD,7.0,39,1,1,121,-69869.17153215408,0.28053589746201824,451.46
gst_coreg3_small,FD,7.0,40,1,1,165,-69869.17892551422,0.30313813120835353,618.61
gst_coreg3_small,FD,7.0,41,1,1,128,-69869.17893600464,0.3008496719510033,463.09
gst_coreg3_small,FD,7.0,42,1,1,166,-69869.17698955536,0.3094174941336083,571.61
gst_coreg3_small,FD,7.0,43,1,1,158,-69869.17563772202,0.30554213238578004,583.75
gst_coreg3_small,FD,7.0,44,1,1,131,-69869.17934989929,0.2991899027143508,482.41
gst_coreg3_small,FD,7.0,45,1,1,109,-69864.1734700203,2.1995146848775513,417.61
gst_coreg3_small,FD,7.0,46,1,1,140,-69869.1793961525,0.29929990954795255,547.26
gst_coreg3_small,FD,7.0,47,1,1,101,-69869.17826080322,0.29747816230760415,352.68
gst_coreg3_small,FD,7.0,48,1,1,137,-69869.1788020134,0.29632389512292984,491.61
gst_coreg3_small,FD,7.0,49,1,1,152,-69869.17584323883,0.29922518581784163,549.19
