model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg3_small,AD,0.5,0,1,1,112,-69869.17374515533,0.28904440577919877,39.65
gst_coreg3_small,AD,0.5,1,1,1,80,-69869.15006828308,0.2996687331790491,35.08
gst_coreg3_small,AD,0.5,2,1,1,68,-69869.145424366,0.28031244134837335,33.69
gst_coreg3_small,AD,0.5,3,1,1,93,-69869.17666578293,0.31055833293163937,37.83
gst_coreg3_small,AD,0.5,4,1,1,61,-69869.13334608078,0.28203895364592213,37.78
gst_coreg3_small,AD,0.5,5,1,1,73,-69868.91671180725,0.30117960174164254,38.33
gst_coreg3_small,AD,0.5,6,1,1,83,-69869.17441749573,0.314479884123554,41.03
gst_coreg3_small,AD,0.5,7,1,1,82,-69869.1647605896,0.3001213362996363,39.59
gst_coreg3_small,AD,0.5,8,1,1,95,-69869.1368303299,0.2937520273357578,41.89
gst_coreg3_small,AD,0.5,9,1,1,75,-69869.17509698868,0.29152881566499594,37.67
gst_coreg3_small,AD,0.5,10,1,1,88,-69869.13993740082,0.2854047491935388,37.56
gst_coreg3_small,AD,0.5,11,1,1,70,-69869.16373205185,0.33255570569581483,34.96
gst_coreg3_small,AD,0.5,12,1,1,62,-69869.17458438873,0.29247393503257324,33.42
gst_coreg3_small,AD,0.5,13,1,1,96,-69869.06178760529,0.32060442034867664,36.99
gst_coreg3_small,AD,0.5,14,1,1,75,-69869.13178348541,0.289770104768017,34.45
gst_coreg3_small,AD,0.5,15,1,1,87,-69869.09887981415,0.2995986460492083,35.39
gst_coreg3_small,AD,0.5,16,1,1,62,-69869.15738344193,0.28093082550551884,33.63
gst_coreg3_small,AD,0.5,17,1,1,70,-69869.16068983078,0.2632101654579561,33.86
gst_coreg3_small,AD,0.5,18,1,1,76,-69869.12100601196,0.2964462084399588,34.59
gst_coreg3_small,AD,0.5,19,1,1,53,-69869.13355016708,0.2623183633091502,32.12
gst_coreg3_small,AD,0.5,20,1,1,53,-69869.17585468292,0.29692671966242434,32.16
gst_coreg3_small,AD,0.5,21,1,1,58,-69869.15879631042,0.28989127793884645,33.32
gst_coreg3_small,AD,0.5,22,1,1,67,-69869.10618543625,0.27098479859808267,33.64
gst_coreg3_small,AD,0.5,23,1,1,78,-69869.17182445526,0.28821207927611525,35.33
gst_coreg3_small,AD,0.5,24,1,1,53,-69869.17389059067,0.2837343811044823,31.98
gst_coreg3_small,AD,0.5,25,1,1,74,-69869.1514286995,0.29459010865278423,34.32
gst_coreg3_small,AD,0.5,26,1,1,76,-69869.01632642746,0.34965795861141846,34.61
gst_coreg3_small,AD,0.5,27,1,1,63,-69869.17722988129,0.3095139455825782,33.08
gst_coreg3_small,AD,0.5,28,1,1,57,-69869.14485740662,0.263546642732726,32.82
gst_coreg3_small,AD,0.5,29,1,1,53,-69869.05170440674,0.2236412217484168,31.99
gst_coreg3_small,AD,0.5,30,1,1,51,-69869.1757030487,0.29688994047463074,32.31
gst_coreg3_small,AD,0.5,31,1,1,74,-69869.14785194397,0.2738237840464516,34.49
gst_coreg3_small,AD,0.5,32,1,1,52,-69869.17809391022,0.3019034327948431,32.19
gst_coreg3_small,AD,0.5,33,1,1,67,-69869.13843011856,0.2878940731160284,33.67
gst_coreg3_small,AD,0.5,34,1,1,87,-69869.14058542252,0.30469117291353914,35.66
gst_coreg3_small,AD,0.5,35,1,1,34,-69869.1616024971,0.26436576942829154,30.46
gst_coreg3_small,AD,0.5,36,1,1,73,-69869.15426111221,0.28930486786282894,34.56
gst_coreg3_small,AD,0.5,37,1,1,48,-69869.16905403137,0.2937325421471015,31.92
gst_coreg3_small,AD,0.5,38,1,1,69,-69869.17043542862,0.2908522248114921,34.19
gst_coreg3_small,AD,0.5,39,1,1,89,-69869.17319917679,0.2882065886693993,36.1
gst_coreg3_small,AD,0.5,40,1,1,70,-69869.08731412888,0.298442710989136,34.1
gst_coreg3_small,AD,0.5,41,1,1,62,-69869.16232347488,0.26716319187525595,33.43
gst_coreg3_small,AD,0.5,42,1,1,85,-69869.15426206589,0.30411841114453103,35.85
gst_coreg3_small,AD,0.5,43,1,1,71,-69869.13079452515,0.26910346596555945,34.42
gst_coreg3_small,AD,0.5,44,1,1,53,-69869.17493724823,0.28530628398405256,32.35
gst_coreg3_small,AD,0.5,45,1,1,91,-69869.11391544342,0.29827134717940496,36.83
gst_coreg3_small,AD,0.5,46,1,1,65,-69869.15507555008,0.2933007854488823,33.92
gst_coreg3_small,AD,0.5,47,1,1,81,-69869.15679645538,0.2748614531241324,35.64
gst_coreg3_small,AD,0.5,48,1,1,67,-69869.15945005417,0.29091991182493226,34.07
gst_coreg3_small,AD,0.5,49,1,1,60,-69869.15960884094,0.3255707328327573,32.94
