model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
wa2_small,FD,5.0,0,1,1,49,-94561.23376464844,0.437243747147009,275.21
wa2_small,FD,5.0,1,1,1,72,-94561.2345252037,0.4362203479404602,350.84
wa2_small,FD,5.0,2,1,1,73,-94561.23429632187,0.43365213314348783,388.65
wa2_small,FD,5.0,3,1,1,91,-94561.23468494415,0.43492627873974576,507.42
wa2_small,FD,5.0,4,1,1,72,-94561.23466014862,0.4350992765333069,412.77
wa2_small,FD,5.0,5,1,1,91,-94561.23447227478,0.43356913313716505,452.09
wa2_small,FD,5.0,6,1,1,50,-94561.21313095093,0.4189644795956757,260.16
wa2_small,FD,5.0,7,1,1,75,-94561.23430204391,0.43587291332762906,369.03
wa2_small,FD,5.0,8,1,1,82,-94561.23355293274,0.4386366334712941,427.96
wa2_small,FD,5.0,9,1,1,54,-94561.2324256897,0.4390075390475612,268.54
wa2_small,FD,5.0,10,1,1,51,-94561.23282146454,0.44023525326850643,266.3
wa2_small,FD,5.0,11,1,1,68,-94561.23468399048,0.4349068217444439,362.0
wa2_small,FD,5.0,12,1,1,57,-94561.23400640488,0.4305258446888233,281.43
wa2_small,FD,5.0,13,0,0,0,nan,nan,362.92
wa2_small,FD,5.0,14,1,1,77,-94561.23454904556,0.43438464421083295,398.22
wa2_small,FD,5.0,15,1,1,84,-94561.23450803757,0.43513179489212883,498.07
wa2_small,FD,5.0,16,1,1,55,-94561.23403787613,0.44053010962814193,263.46
wa2_small,FD,5.0,17,1,1,57,-94561.22866725922,0.42885416133422277,272.4
wa2_small,FD,5.0,18,1,1,97,-94561.23439025879,0.4353939077835535,486.31
wa2_small,FD,5.0,19,1,1,61,-94561.23438882828,0.4360286108576971,323.58
wa2_small,FD,5.0,20,1,1,53,-94561.19742298126,0.40970130217846856,309.76
wa2_small,FD,5.0,21,1,1,71,-94561.2345700264,0.4359970634995362,349.56
wa2_small,FD,5.0,22,1,1,63,-94561.23430538177,0.4376124912504939,315.59
wa2_small,FD,5.0,23,1,1,74,-94561.23458623886,0.434552549408291,357.13
wa2_small,FD,5.0,24,1,1,61,-94561.23386383057,0.43063643559670817,339.7
wa2_small,FD,5.0,25,1,1,78,-94561.23427629471,0.43492917183723984,368.31
wa2_small,FD,5.0,26,1,1,73,-94561.23277807236,0.4273690419587066,409.92
wa2_small,FD,5.0,27,1,1,66,-94561.23421669006,0.4322093105287906,314.55
wa2_small,FD,5.0,28,1,1,77,-94561.23453569412,0.43427805144454273,369.24
wa2_small,FD,5.0,29,1,1,82,-94561.23462247849,0.43393065604049863,416.7
wa2_small,FD,5.0,30,1,1,53,-94561.22678565979,0.44982429275233965,255.61
wa2_small,FD,5.0,31,1,1,73,-94561.23464775085,0.43543572459417684,365.67
wa2_small,FD,5.0,32,1,1,55,-94561.23418569565,0.43295642847128396,258.96
wa2_small,FD,5.0,33,1,1,53,-94561.23370599747,0.44097245583489847,250.0
wa2_small,FD,5.0,34,1,1,75,-94561.23453521729,0.4342476231998994,359.38
wa2_small,FD,5.0,35,1,1,67,-94561.23455095291,0.4347302142177606,324.29
wa2_small,FD,5.0,36,1,1,66,-94561.23463487625,0.43566348986785225,297.52
wa2_small,FD,5.0,37,1,1,80,-94561.23464822769,0.43526887379010576,365.87
wa2_small,FD,5.0,38,1,1,83,-94561.23422765732,0.4356368889380545,434.13
wa2_small,FD,5.0,39,1,1,80,-94561.23457288742,0.4354964675696583,424.44
wa2_small,FD,5.0,40,1,1,66,-94561.23312473297,0.43435934585534136,349.41
wa2_small,FD,5.0,41,1,1,58,-94561.2345123291,0.43352766762028827,292.37
wa2_small,FD,5.0,42,1,1,87,-94561.23466587067,0.43482370603776443,412.6
wa2_small,FD,5.0,43,1,1,98,-94561.23464393616,0.4357024452210978,531.82
wa2_small,FD,5.0,44,1,1,59,-94561.22296094894,0.459173498342843,295.57
wa2_small,FD,5.0,45,1,1,67,-94561.23461723328,0.4362097484145454,310.8
wa2_small,FD,5.0,46,1,1,73,-94561.2346572876,0.43494939355543316,384.77
wa2_small,FD,5.0,47,1,1,73,-94561.234208107,0.43365068888793096,331.12
wa2_small,FD,5.0,48,1,1,54,-94561.22599697113,0.42094726089554657,253.15
wa2_small,FD,5.0,49,1,1,67,-94561.23446130753,0.4346948272171351,342.18
