model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
wa2_small,AD,0.5,0,1,1,34,-94561.21412849426,0.42891181149674257,36.97
wa2_small,AD,0.5,1,1,1,28,-94561.22949934006,0.4410432548625881,36.21
wa2_small,AD,0.5,2,1,1,36,-94561.20253801346,0.4723722731024324,37.84
wa2_small,AD,0.5,3,1,1,39,-94561.230489254,0.42728030883711404,38.1
wa2_small,AD,0.5,4,1,1,43,-94561.22103643417,0.42392902896235296,41.44
wa2_small,AD,0.5,5,1,1,46,-94561.21727180481,0.42216556856904924,46.31
wa2_small,AD,0.5,6,1,1,33,-94561.2345700264,0.4351563654969801,43.98
wa2_small,AD,0.5,7,1,1,34,-94561.22775173187,0.45043129094093703,43.22
wa2_small,AD,0.5,8,1,1,37,-94561.2343583107,0.433641616664608,44.02
wa2_small,AD,0.5,9,1,1,46,-94561.23436546326,0.43485894476361275,45.88
wa2_small,AD,0.5,10,1,1,41,-94561.23400592804,0.436107328691484,44.6
wa2_small,AD,0.5,11,1,1,27,-94561.22292804718,0.4563270749636093,41.68
wa2_small,AD,0.5,12,1,1,33,-94561.23109436035,0.4312400746032156,42.82
wa2_small,AD,0.5,13,1,1,34,-94561.22183656693,0.4229172710348123,42.53
wa2_small,AD,0.5,14,1,1,36,-94561.17393827438,0.49141872743202825,42.78
wa2_small,AD,0.5,15,1,1,34,-94561.23347711563,0.43074813263639083,42.69
wa2_small,AD,0.5,16,1,1,48,-94561.23443031311,0.4369672743076009,45.44
wa2_small,AD,0.5,17,1,1,34,-94561.2216539383,0.42599233852069635,42.25
wa2_small,AD,0.5,18,1,1,33,-94561.21880435944,0.4221433066685482,41.82
wa2_small,AD,0.5,19,1,1,43,-94561.23463106155,0.4340675508979318,43.66
wa2_small,AD,0.5,20,1,1,39,-94561.22908449173,0.4321160905161363,42.7
wa2_small,AD,0.5,21,1,1,40,-94561.22930717468,0.4359122204769707,42.97
wa2_small,AD,0.5,22,1,1,33,-94561.2280087471,0.4262323827465144,41.65
wa2_small,AD,0.5,23,1,1,34,-94561.22397899628,0.45325005399286955,42.71
wa2_small,AD,0.5,24,1,1,33,-94561.22514915466,0.4294152060354147,41.84
wa2_small,AD,0.5,25,1,1,28,-94561.2319521904,0.4441188652841781,40.71
wa2_small,AD,0.5,26,1,1,31,-94561.21209716797,0.4226758433342248,41.49
wa2_small,AD,0.5,27,1,1,34,-94561.23135137558,0.43540152010399114,42.55
wa2_small,AD,0.5,28,1,1,40,-94561.23455953598,0.4372862865888149,43.76
wa2_small,AD,0.5,29,1,1,43,-94561.21820735931,0.42480086080735385,43.51
wa2_small,AD,0.5,30,1,1,35,-94561.22560167313,0.42874589135897456,42.73
wa2_small,AD,0.5,31,1,1,33,-94561.21394872665,0.46464231739377704,41.7
wa2_small,AD,0.5,32,1,1,35,-94561.22472715378,0.4391393118509863,43.49
wa2_small,AD,0.5,33,1,1,41,-94561.21249628067,0.4238461104839661,44.12
wa2_small,AD,0.5,34,1,1,43,-94561.23443603516,0.43698151757613013,43.92
wa2_small,AD,0.5,35,1,1,53,-94561.23453998566,0.4348762138176018,45.26
wa2_small,AD,0.5,36,1,1,31,-94561.22971963882,0.4266658263786027,41.08
wa2_small,AD,0.5,37,1,1,46,-94561.23462295532,0.4350387397203067,44.06
wa2_small,AD,0.5,38,1,1,40,-94561.22155618668,0.42489522903888255,42.95
wa2_small,AD,0.5,39,1,1,37,-94561.23441696167,0.4327690956575871,42.69
wa2_small,AD,0.5,40,1,1,34,-94561.21381664276,0.4240831903165739,42.25
wa2_small,AD,0.5,41,1,1,45,-94561.23456907272,0.43665722998114015,39.84
wa2_small,AD,0.5,42,1,1,33,-94561.22430229187,0.4249936279966473,37.43
wa2_small,AD,0.5,43,1,1,33,-94561.22417449951,0.45463039363245167,194.05
wa2_small,AD,0.5,44,1,1,52,-94561.2346611023,0.4352902665579756,40.51
wa2_small,AD,0.5,45,1,1,43,-94561.2346625328,0.4346566271142614,40.09
wa2_small,AD,0.5,46,1,1,31,-94561.17580986023,0.41346878229191286,37.16
wa2_small,AD,0.5,47,1,1,30,-94561.23005628586,0.44742393422962917,37.28
wa2_small,AD,0.5,48,1,1,33,-94561.22941637039,0.44024538108978684,37.3
wa2_small,AD,0.5,49,1,1,26,-94561.23323822021,0.43008453086515536,36.46
