model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg2_small,FD,2.0,0,1,1,42,-28083.222356766462,3.252397622838376,74.44
gst_coreg2_small,FD,2.0,1,1,1,38,-28083.222400277853,3.25245113951547,67.9
gst_coreg2_small,FD,2.0,2,1,1,30,-28083.222071379423,3.2526452391265437,50.13
gst_coreg2_small,FD,2.0,3,1,1,37,-28083.20787501335,3.255408376482312,67.41
gst_coreg2_small,FD,2.0,4,1,1,36,-28083.222322821617,3.2523026935534447,59.8
gst_coreg2_small,FD,2.0,5,1,1,36,-28083.222188085318,3.2521595178228604,58.65
gst_coreg2_small,FD,2.0,6,1,1,33,-28083.22240203619,3.252450762253999,51.58
gst_coreg2_small,FD,2.0,7,0,0,0,nan,nan,2.92
gst_coreg2_small,FD,2.0,8,1,1,39,-28083.22199627757,3.25258730958467,60.09
gst_coreg2_small,FD,2.0,9,1,1,35,-28083.222322911024,3.252425007830991,52.73
gst_coreg2_small,FD,2.0,10,1,1,35,-28083.22240331769,3.252442348227308,58.27
gst_coreg2_small,FD,2.0,11,1,1,30,-28083.222399771214,3.2524020534488147,50.02
gst_coreg2_small,FD,2.0,12,1,1,37,-28083.22240385413,3.252430698758787,60.45
gst_coreg2_small,FD,2.0,13,1,1,39,-28083.222381323576,3.2523864993385967,66.8
gst_coreg2_small,FD,2.0,14,1,1,32,-28083.22222557664,3.252528727226205,51.49
gst_coreg2_small,FD,2.0,15,1,1,39,-28083.222394794226,3.2524700181422292,59.73
gst_coreg2_small,FD,2.0,16,1,1,33,-28083.222396343946,3.252415989104638,52.87
gst_coreg2_small,FD,2.0,17,1,1,39,-28083.222254931927,3.252386108649295,59.47
gst_coreg2_small,FD,2.0,18,1,1,30,-28083.222005188465,3.2527782694415817,49.01
gst_coreg2_small,FD,2.0,19,1,1,31,-28083.22235134244,3.2524294149295256,49.01
gst_coreg2_small,FD,2.0,20,1,1,36,-28083.22239330411,3.252404262981788,56.73
gst_coreg2_small,FD,2.0,21,1,1,40,-28083.222319334745,3.252248588125277,58.14
gst_coreg2_small,FD,2.0,22,1,1,31,-28083.221905767918,3.252671516019566,47.15
gst_coreg2_small,FD,2.0,23,1,1,34,-28083.221030443907,3.252233087157779,53.01
gst_coreg2_small,FD,2.0,24,1,1,25,-28083.209855884314,3.2502986552993094,40.28
gst_coreg2_small,FD,2.0,25,1,1,23,-28083.204569607973,3.255681794436407,35.98
gst_coreg2_small,FD,2.0,26,1,1,34,-28083.222405314445,3.2524344969544234,59.73
gst_coreg2_small,FD,2.0,27,1,1,38,-28083.222340494394,3.2523684004070144,58.9
gst_coreg2_small,FD,2.0,28,1,1,30,-28083.22205799818,3.2526120946349035,60.39
gst_coreg2_small,FD,2.0,29,1,1,34,-28083.222068816423,3.2523008211034408,63.03
gst_coreg2_small,FD,2.0,30,1,1,35,-28083.222310751677,3.2524569623536403,54.85
gst_coreg2_small,FD,2.0,31,1,1,34,-28083.2223713696,3.2523182251135703,55.48
gst_coreg2_small,FD,2.0,32,1,1,35,-28083.222243487835,3.2525464577636836,57.48
gst_coreg2_small,FD,2.0,33,1,1,40,-28083.222380012274,3.2523912826226957,60.63
gst_coreg2_small,FD,2.0,34,1,1,33,-28083.22228014469,3.2526118932334334,51.78
gst_coreg2_small,FD,2.0,35,1,1,33,-28083.222088575363,3.252699728327862,54.36
gst_coreg2_small,FD,2.0,36,1,1,36,-28083.22237870097,3.252403071177515,53.72
gst_coreg2_small,FD,2.0,37,1,1,42,-28083.222393661737,3.2524579520288173,63.77
gst_coreg2_small,FD,2.0,38,1,1,37,-28083.222344189882,3.252442640724364,56.83
gst_coreg2_small,FD,2.0,39,1,1,40,-28083.222153931856,3.2523958625372154,63.88
gst_coreg2_small,FD,2.0,40,1,1,41,-28083.222402513027,3.2524221112938294,68.18
gst_coreg2_small,FD,2.0,41,1,1,31,-28083.22205299139,3.252368237233606,61.94
gst_coreg2_small,FD,2.0,42,1,1,35,-28083.22240191698,3.2524293877772976,68.76
gst_coreg2_small,FD,2.0,43,1,1,36,-28083.22238126397,3.2525444240209627,69.26
gst_coreg2_small,FD,2.0,44,1,1,36,-28083.222361952066,3.2522741578235954,62.67
gst_coreg2_small,FD,2.0,45,1,1,27,-28083.221618562937,3.251845633686391,47.15
gst_coreg2_small,FD,2.0,46,1,1,37,-28083.222180455923,3.252618293345113,67.53
gst_coreg2_small,FD,2.0,47,1,1,34,-28083.222364634275,3.2524419475169433,56.95
gst_coreg2_small,FD,2.0,48,1,1,40,-28083.222211390734,3.252580878660353,60.95
gst_coreg2_small,FD,2.0,49,1,1,22,-28083.211449354887,3.250458075601242,35.44
