model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg3_small,AD,10.0,0,1,1,122,-69869.15885400772,0.279618255578695,39.86
gst_coreg3_small,AD,10.0,1,1,0,23,-56881.15340232849,8.279334910607059,33.21
gst_coreg3_small,AD,10.0,2,1,1,190,-69869.1744055748,0.31238546360398767,48.74
gst_coreg3_small,AD,10.0,3,1,1,151,-69869.17828559875,0.29669431562649845,44.06
gst_coreg3_small,AD,10.0,4,1,1,167,-69869.17895793915,0.29869712186308195,50.16
gst_coreg3_small,AD,10.0,5,1,0,44,-50713.610409498215,9.262813703741672,39.04
gst_coreg3_small,AD,10.0,6,1,1,200,-69868.85577249527,0.2891108930851286,52.08
gst_coreg3_small,AD,10.0,7,1,1,182,-69869.17907476425,0.30232387052037396,52.2
gst_coreg3_small,AD,10.0,8,1,1,134,-69781.24214839935,1.7944533019639455,49.37
gst_coreg3_small,AD,10.0,9,1,1,151,-69869.17413806915,0.31454329174948764,50.91
gst_coreg3_small,AD,10.0,10,1,0,28,-42778.87156486511,17.50852483745864,39.5
gst_coreg3_small,AD,10.0,11,1,1,75,-69469.38884115219,4.620323711628771,44.33
gst_coreg3_small,AD,10.0,12,1,1,130,-69860.40432167053,1.4086940114258435,50.58
gst_coreg3_small,AD,10.0,13,1,1,191,-69869.1783823967,0.3074687313390958,53.36
gst_coreg3_small,AD,10.0,14,1,0,19,-64136.01380062103,7.509688753917003,36.63
gst_coreg3_small,AD,10.0,15,1,1,200,-69869.08650159836,0.3729283992740179,55.59
gst_coreg3_small,AD,10.0,16,1,1,126,-69869.14529275894,0.2619911851973871,45.22
gst_coreg3_small,AD,10.0,17,1,0,16,-38000.750801086426,12.000136620347977,36.72
gst_coreg3_small,AD,10.0,18,1,1,170,-69869.17857170105,0.2975364872664208,50.15
gst_coreg3_small,AD,10.0,19,1,1,129,-69869.10960769653,0.3039632407224636,47.4
gst_coreg3_small,AD,10.0,20,1,0,15,-63136.12578010559,6.912324536850897,37.64
gst_coreg3_small,AD,10.0,21,1,1,169,-69869.17663812637,0.3078095840009595,51.59
gst_coreg3_small,AD,10.0,22,1,1,183,-69869.17770767212,0.30277157496050805,51.7
gst_coreg3_small,AD,10.0,23,1,1,150,-69856.27914524078,1.8492600054001276,53.17
gst_coreg3_small,AD,10.0,24,1,1,200,-69860.32576704025,1.690243150519643,55.78
gst_coreg3_small,AD,10.0,25,1,1,164,-69869.17901563644,0.298583587798695,49.58
gst_coreg3_small,AD,10.0,26,1,1,145,-69869.1774520874,0.29954899105403976,47.94
gst_coreg3_small,AD,10.0,27,1,1,152,-69869.17763853073,0.30049890051776135,47.83
gst_coreg3_small,AD,10.0,28,1,1,174,-69869.17738008499,0.30068476703617936,52.59
gst_coreg3_small,AD,10.0,29,1,1,148,-69869.17896699905,0.30299813350727106,49.05
gst_coreg3_small,AD,10.0,30,1,0,18,-67514.24925374985,6.268556245735009,33.68
gst_coreg3_small,AD,10.0,31,1,1,109,-69546.99673986435,1.6522653035738886,48.28
gst_coreg3_small,AD,10.0,32,1,1,110,-69869.17155313492,0.321300182322007,43.86
gst_coreg3_small,AD,10.0,33,1,0,17,-64607.28572034836,4.7405465632017,36.39
gst_coreg3_small,AD,10.0,34,1,1,174,-69869.17402505875,0.28408793240414637,51.06
gst_coreg3_small,AD,10.0,35,1,0,108,-53727.51755857468,6.045564571759998,46.43
gst_coreg3_small,AD,10.0,36,1,1,127,-69869.17834663391,0.29475805207637606,45.36
gst_coreg3_small,AD,10.0,37,1,0,74,-68084.61561250687,3.6131035602588915,42.1
gst_coreg3_small,AD,10.0,38,1,1,199,-69869.17901086807,0.2983676025844106,52.91
gst_coreg3_small,AD,10.0,39,1,1,141,-69869.14536523819,0.2646689472928561,183.8
gst_coreg3_small,AD,10.0,40,1,1,172,-69869.17477750778,0.2997274864388112,50.0
gst_coreg3_small,AD,10.0,41,1,1,191,-69869.17869615555,0.30303629560202866,52.59
gst_coreg3_small,AD,10.0,42,1,1,200,-69869.1702580452,0.29958316567330967,54.12
gst_coreg3_small,AD,10.0,43,1,1,194,-69869.17743682861,0.29430780273388574,54.91
gst_coreg3_small,AD,10.0,44,1,0,42,-43194.846311569214,11.605512272349978,38.64
gst_coreg3_small,AD,10.0,45,1,1,155,-69869.17761659622,0.2892404829602378,50.51
gst_coreg3_small,AD,10.0,46,1,0,12,-50025.1391556263,9.38384057137482,37.94
gst_coreg3_small,AD,10.0,47,1,0,107,-42995.789539813995,10.170234999677426,46.93
gst_coreg3_small,AD,10.0,48,1,1,200,-69869.17872714996,0.30350786643685923,53.77
gst_coreg3_small,AD,10.0,49,1,1,174,-69869.1679983139,0.28495973690687204,52.08
