model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg3_small,AD,5.0,0,1,1,114,-69869.17752027512,0.3083914776681566,39.14
gst_coreg3_small,AD,5.0,1,1,1,121,-69869.17885446548,0.2974537377047667,43.56
gst_coreg3_small,AD,5.0,2,1,1,43,-69494.576233387,1.775591472170763,36.73
gst_coreg3_small,AD,5.0,3,1,1,70,-69862.11924934387,3.381693927167911,38.09
gst_coreg3_small,AD,5.0,4,1,1,115,-69869.1671090126,0.2701827993447022,43.04
gst_coreg3_small,AD,5.0,5,1,1,159,-69869.17341661453,0.2878980483028992,47.83
gst_coreg3_small,AD,5.0,6,1,1,117,-69869.17445707321,0.2920151239599102,42.66
gst_coreg3_small,AD,5.0,7,1,1,101,-69869.17939043045,0.30028254283176614,41.85
gst_coreg3_small,AD,5.0,8,1,1,133,-69869.17608356476,0.308365856042517,44.51
gst_coreg3_small,AD,5.0,9,1,1,95,-69869.17130661011,0.3199978473348672,40.57
gst_coreg3_small,AD,5.0,10,1,1,161,-69869.16451597214,0.274582731911801,47.69
gst_coreg3_small,AD,5.0,11,1,1,129,-69869.1743850708,0.3062324959555223,44.42
gst_coreg3_small,AD,5.0,12,1,1,129,-69869.179292202,0.2994439113124708,44.58
gst_coreg3_small,AD,5.0,13,1,1,126,-69869.17800664902,0.30726888007386566,44.13
gst_coreg3_small,AD,5.0,14,1,1,156,-69869.12538385391,0.27391415841684025,49.35
gst_coreg3_small,AD,5.0,15,1,1,160,-69869.1671833992,0.2822865720864861,48.66
gst_coreg3_small,AD,5.0,16,1,1,92,-69869.1639676094,0.32905131114359754,40.36
gst_coreg3_small,AD,5.0,17,1,0,12,-67933.40644645691,2.7200689635393753,34.94
gst_coreg3_small,AD,5.0,18,1,1,124,-69869.17918109894,0.30183446181329593,43.97
gst_coreg3_small,AD,5.0,19,1,1,77,-69869.17904901505,0.3003510376742652,38.54
gst_coreg3_small,AD,5.0,20,1,1,100,-69869.11360549927,0.3302787475909934,41.26
gst_coreg3_small,AD,5.0,21,1,1,95,-69869.15452051163,0.31419793762857867,41.19
gst_coreg3_small,AD,5.0,22,1,1,136,-69869.1790266037,0.29928007417466523,46.31
gst_coreg3_small,AD,5.0,23,1,1,95,-69869.17782354355,0.30795369336574424,41.6
gst_coreg3_small,AD,5.0,24,1,1,171,-69869.17913484573,0.3013305152959714,49.4
gst_coreg3_small,AD,5.0,25,1,1,147,-69869.17849731445,0.29691073886889957,47.32
gst_coreg3_small,AD,5.0,26,1,1,158,-69869.16338634491,0.27601918509935774,48.82
gst_coreg3_small,AD,5.0,27,1,1,96,-69869.1664595604,0.3046473077913363,41.62
gst_coreg3_small,AD,5.0,28,1,1,91,-69869.17465162277,0.3162022483846526,41.27
gst_coreg3_small,AD,5.0,29,1,0,20,-68243.76799201965,2.997606229160832,36.48
gst_coreg3_small,AD,5.0,30,1,1,78,-69869.17917966843,0.29665864894846045,39.5
gst_coreg3_small,AD,5.0,31,1,1,93,-69869.11454772949,0.3193666691395159,41.8
gst_coreg3_small,AD,5.0,32,1,1,110,-69869.17818880081,0.30176441102458185,42.23
gst_coreg3_small,AD,5.0,33,1,1,125,-69869.17541074753,0.28960045926064665,44.17
gst_coreg3_small,AD,5.0,34,1,1,136,-69869.17777633667,0.3024141561698611,45.74
gst_coreg3_small,AD,5.0,35,1,1,80,-69869.17801094055,0.3097235513982347,39.49
gst_coreg3_small,AD,5.0,36,1,1,112,-69869.14697599411,0.33990760241791673,42.43
gst_coreg3_small,AD,5.0,37,1,0,14,-68258.14232444763,3.296392095317767,35.47
gst_coreg3_small,AD,5.0,38,1,1,89,-69869.1774301529,0.29346264099319425,40.09
gst_coreg3_small,AD,5.0,39,1,1,97,-69869.17775535583,0.3089473916435246,41.34
gst_coreg3_small,AD,5.0,40,1,1,152,-69869.17752885818,0.30208576515285823,47.4
gst_coreg3_small,AD,5.0,41,1,1,146,-69869.17410564423,0.2913863091561772,46.52
gst_coreg3_small,AD,5.0,42,1,1,97,-69869.1454834938,0.27378430830806716,198.12
gst_coreg3_small,AD,5.0,43,1,1,167,-69869.17766952515,0.294334446043709,49.3
gst_coreg3_small,AD,5.0,44,1,1,172,-69869.17647981644,0.2964376063032535,49.57
gst_coreg3_small,AD,5.0,45,1,1,101,-69865.48068237305,1.5009429890325656,41.62
gst_coreg3_small,AD,5.0,46,1,1,155,-69869.17855358124,0.29634006322051465,47.85
gst_coreg3_small,AD,5.0,47,1,1,86,-69869.15126895905,0.2959252526385678,39.57
gst_coreg3_small,AD,5.0,48,1,1,127,-69869.1784286499,0.2937323052284386,44.95
gst_coreg3_small,AD,5.0,49,1,1,121,-69869.17827749252,0.30386338447525607,43.22
