model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg3_small,FD,5.0,0,1,1,100,-69869.1771144867,0.30477408840972237,366.77
gst_coreg3_small,FD,5.0,1,1,1,102,-69869.1789264679,0.2972238737867018,418.69
gst_coreg3_small,FD,5.0,2,1,1,123,-69869.13569021225,0.26699211840080894,439.81
gst_coreg3_small,FD,5.0,3,1,1,66,-69862.12859678268,3.3845318606818866,224.67
gst_coreg3_small,FD,5.0,4,1,1,116,-69869.16479110718,0.26678696758805115,386.08
gst_coreg3_small,FD,5.0,5,1,1,73,-69863.48277187347,2.5511848857261263,261.42
gst_coreg3_small,FD,5.0,6,1,1,118,-69869.17645215988,0.2939469060511323,390.0
gst_coreg3_small,FD,5.0,7,1,1,101,-69869.16718578339,0.30345565877791014,350.79
gst_coreg3_small,FD,5.0,8,1,1,125,-69869.17738056183,0.2997444318208368,447.06
gst_coreg3_small,FD,5.0,9,1,1,99,-69869.17321014404,0.31195671695196064,330.75
gst_coreg3_small,FD,5.0,10,1,1,151,-69869.17922639847,0.2995061216942993,510.37
gst_coreg3_small,FD,5.0,11,1,1,101,-69869.08626890182,0.39398050369128557,354.38
gst_coreg3_small,FD,5.0,12,1,1,153,-69869.17570877075,0.2990480472818126,570.46
gst_coreg3_small,FD,5.0,13,1,1,156,-69869.17842960358,0.3015141901608354,586.24
gst_coreg3_small,FD,5.0,14,1,1,129,-69869.1415219307,0.27653972114409897,497.95
gst_coreg3_small,FD,5.0,15,1,1,87,-69864.0252609253,2.272968932080351,295.1
gst_coreg3_small,FD,5.0,16,1,1,96,-69869.16543292999,0.3260897121963866,328.21
gst_coreg3_small,FD,5.0,17,0,0,0,nan,nan,44.88
gst_coreg3_small,FD,5.0,18,1,1,92,-69869.17908906937,0.3000796702138748,321.53
gst_coreg3_small,FD,5.0,19,1,1,81,-69869.17899990082,0.30026916780689467,276.96
gst_coreg3_small,FD,5.0,20,1,1,95,-69869.1079044342,0.3239742932939214,322.43
gst_coreg3_small,FD,5.0,21,1,1,78,-69869.14071702957,0.32108033994992174,261.56
gst_coreg3_small,FD,5.0,22,1,1,127,-69869.17836856842,0.29381958322873414,431.55
gst_coreg3_small,FD,5.0,23,1,1,94,-69869.17777204514,0.3083497064798161,332.56
gst_coreg3_small,FD,5.0,24,1,1,175,-69869.17870998383,0.2963232085546216,606.2
gst_coreg3_small,FD,5.0,25,1,1,130,-69869.17429351807,0.30025479560871615,457.33
gst_coreg3_small,FD,5.0,26,1,1,133,-69869.17878198624,0.3033486101823423,476.25
gst_coreg3_small,FD,5.0,27,1,1,125,-69869.17925024033,0.29903438778788505,418.56
gst_coreg3_small,FD,5.0,28,1,1,91,-69869.17583703995,0.31346087333891054,317.0
gst_coreg3_small,FD,5.0,29,0,0,0,nan,nan,77.97
gst_coreg3_small,FD,5.0,30,1,1,90,-69869.17926645279,0.30085617085768424,287.57
gst_coreg3_small,FD,5.0,31,1,1,90,-69869.1699295044,0.32883665357007374,313.42
gst_coreg3_small,FD,5.0,32,1,1,115,-69869.17638731003,0.3013798626429567,388.17
gst_coreg3_small,FD,5.0,33,1,1,150,-69869.17878055573,0.3019624679322376,564.51
gst_coreg3_small,FD,5.0,34,1,1,104,-69869.17929697037,0.3014519599509712,398.58
gst_coreg3_small,FD,5.0,35,1,1,75,-69869.17799329758,0.30985748087902604,258.66
gst_coreg3_small,FD,5.0,36,1,1,134,-69869.17765188217,0.2990356538844244,467.1
gst_coreg3_small,FD,5.0,37,0,0,0,nan,nan,54.05
gst_coreg3_small,FD,5.0,38,1,1,69,-69869.1777715683,0.3035442925066596,236.13
gst_coreg3_small,FD,5.0,39,1,1,88,-69869.17563772202,0.31101192748175416,311.21
gst_coreg3_small,FD,5.0,40,1,1,130,-69869.17778539658,0.3020238462345692,435.09
gst_coreg3_small,FD,5.0,41,1,1,98,-69868.9732913971,0.3070305365996475,330.71
gst_coreg3_small,FD,5.0,42,1,1,80,-69869.13024520874,0.2726315250898302,285.64
gst_coreg3_small,FD,5.0,43,1,1,174,-69869.17548274994,0.2917189915551539,607.45
gst_coreg3_small,FD,5.0,44,1,1,107,-69868.63004016876,0.42413056632865337,353.6
gst_coreg3_small,FD,5.0,45,1,1,154,-69869.17742490768,0.296352561810735,516.29
gst_coreg3_small,FD,5.0,46,1,1,111,-69869.11462974548,0.2775496287419713,373.65
gst_coreg3_small,FD,5.0,47,1,1,84,-69869.150806427,0.2946119882328363,278.38
gst_coreg3_small,FD,5.0,48,1,1,122,-69869.17767381668,0.2906263417625959,416.56
gst_coreg3_small,FD,5.0,49,1,1,95,-69869.17880105972,0.29886163242758224,348.51
