model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg3_small,FD,1.0,0,1,1,81,-69869.17566394806,0.28993374063893335,256.13
gst_coreg3_small,FD,1.0,1,1,1,55,-69869.06746196747,0.3471731820821285,215.74
gst_coreg3_small,FD,1.0,2,1,1,108,-69869.15032100677,0.28968030554078217,366.92
gst_coreg3_small,FD,1.0,3,1,1,126,-69869.17896270752,0.29736385498734885,406.54
gst_coreg3_small,FD,1.0,4,1,1,71,-69869.13082408905,0.2940908960293411,275.64
gst_coreg3_small,FD,1.0,5,1,1,104,-69869.17695188522,0.30810005096740367,369.56
gst_coreg3_small,FD,1.0,6,1,1,89,-69869.14078807831,0.3514930344994083,322.89
gst_coreg3_small,FD,1.0,7,1,1,57,-69869.16145420074,0.3173860813235638,190.86
gst_coreg3_small,FD,1.0,8,1,1,97,-69869.17886686325,0.2971808885325037,344.1
gst_coreg3_small,FD,1.0,9,1,1,67,-69869.17706155777,0.29267255204760073,232.29
gst_coreg3_small,FD,1.0,10,1,1,102,-69869.05989980698,0.29756659477657127,329.02
gst_coreg3_small,FD,1.0,11,1,1,104,-69869.15738677979,0.3477541094829393,363.01
gst_coreg3_small,FD,1.0,12,1,1,99,-69869.17465925217,0.30816184895011645,394.11
gst_coreg3_small,FD,1.0,13,1,1,146,-69869.17424964905,0.31175060994993625,502.44
gst_coreg3_small,FD,1.0,14,1,1,75,-69869.17246103287,0.3063485374008174,246.2
gst_coreg3_small,FD,1.0,15,1,1,121,-69869.17420768738,0.28519636508216456,409.27
gst_coreg3_small,FD,1.0,16,1,1,76,-69869.15940475464,0.3051804601725276,251.11
gst_coreg3_small,FD,1.0,17,1,1,49,-69869.1785120964,0.30152203810586664,185.08
gst_coreg3_small,FD,1.0,18,1,1,91,-69869.13999795914,0.2931724562418583,352.4
gst_coreg3_small,FD,1.0,19,1,1,75,-69869.12390708923,0.33920958106626553,273.12
gst_coreg3_small,FD,1.0,20,1,1,69,-69869.17029428482,0.30209964716340826,229.3
gst_coreg3_small,FD,1.0,21,1,1,68,-69869.17473173141,0.2963847075724346,228.05
gst_coreg3_small,FD,1.0,22,1,1,102,-69869.171251297,0.3136612154899204,336.62
gst_coreg3_small,FD,1.0,23,1,1,87,-69869.17300415039,0.2855109605373726,308.7
gst_coreg3_small,FD,1.0,24,1,1,79,-69869.1684126854,0.3083474525353742,249.77
gst_coreg3_small,FD,1.0,25,1,1,69,-69869.11753892899,0.27505132378886527,234.61
gst_coreg3_small,FD,1.0,26,1,1,95,-69869.02287626266,0.3848258753165157,346.9
gst_coreg3_small,FD,1.0,27,1,1,73,-69869.1548500061,0.33149261321264595,229.13
gst_coreg3_small,FD,1.0,28,1,1,53,-69869.15844154358,0.2862795473940071,174.73
gst_coreg3_small,FD,1.0,29,1,1,58,-69869.08167409897,0.22598973840007539,193.08
gst_coreg3_small,FD,1.0,30,1,1,61,-69869.17103481293,0.3187992030625887,204.31
gst_coreg3_small,FD,1.0,31,1,1,98,-69869.17939901352,0.29928587604892787,323.45
gst_coreg3_small,FD,1.0,32,1,1,79,-69869.16896629333,0.3274509626077141,273.67
gst_coreg3_small,FD,1.0,33,1,1,80,-69869.12297344208,0.3016217071024135,273.28
gst_coreg3_small,FD,1.0,34,1,1,93,-69869.0680551529,0.315405380281054,284.58
gst_coreg3_small,FD,1.0,35,1,1,55,-69869.17911052704,0.2992692227221292,204.06
gst_coreg3_small,FD,1.0,36,1,1,86,-69869.14100217819,0.3042568602700336,301.35
gst_coreg3_small,FD,1.0,37,1,1,72,-69869.10768270493,0.24876713131601694,247.26
gst_coreg3_small,FD,1.0,38,1,1,71,-69869.17170000076,0.28890627468050206,257.26
gst_coreg3_small,FD,1.0,39,1,1,79,-69869.17629098892,0.28905017869484034,248.32
gst_coreg3_small,FD,1.0,40,1,1,72,-69868.9773683548,0.3231835218186076,241.5
gst_coreg3_small,FD,1.0,41,1,1,60,-69869.06890153885,0.3818618507935176,222.53
gst_coreg3_small,FD,1.0,42,1,1,72,-69869.14978313446,0.315875128462574,247.77
gst_coreg3_small,FD,1.0,43,1,1,92,-69869.1776008606,0.30503516513315737,326.97
gst_coreg3_small,FD,1.0,44,1,1,59,-69869.13675165176,0.3577712572002104,239.47
gst_coreg3_small,FD,1.0,45,1,1,74,-69868.97995996475,0.32337902894658976,262.79
gst_coreg3_small,FD,1.0,46,1,1,92,-69869.17399597168,0.32092263779730706,300.42
gst_coreg3_small,FD,1.0,47,1,1,54,-69869.15503501892,0.2581660154966486,177.67
gst_coreg3_small,FD,1.0,48,1,1,86,-69869.17724704742,0.3127364296946041,284.09
gst_coreg3_small,FD,1.0,49,1,1,76,-69869.16629219055,0.30237659389121,248.44
