model,method,forward_time,backward_time,total_time,total_time_std,peak_memory_bytes,n_runs
gst_coreg2_small,AD,0.08703950209310278,0.048985711298882975,0.13602521339198576,0.0019584247308850164,0,10
gst_coreg2_small,FD,9.732470112503506,0.0,9.732470112503506,0.08835791238555563,0,10
gst_coreg3_small,AD,0.10002373920287937,0.0624866069178097,0.16251034612068907,0.00479592655889204,0,10
gst_coreg3_small,FD,25.082097588188482,0.0,25.082097588188482,0.09808349354282786,0,10
gst_large,AD,7.420819091307931,16.212711231107825,23.633530322415755,0.0065230600816592425,0,10
gst_large,FD,56.25140675042057,0.0,56.25140675042057,0.004410644303795163,0,10
sa1,AD,9.710833775321953,22.566113790590315,32.276947565912266,0.008171973593753596,0,10
gst_small,AD,0.0033212211914360524,0.05833547970396467,0.06165670089540072,0.0012389681757850703,0,10
gst_small,FD,0.3300286694895476,0.0,0.3300286694895476,0.0012853367571580188,0,10
gst_medium,AD,0.35897150651435367,0.3955528989899904,0.7545244055043441,0.00266038864305496,0,10
gst_medium,FD,2.680630851216847,0.0,2.680630851216847,0.0022195256650998775,0,10
sa1,FD,264.918831617001,0.0,264.918831617001,0.07157773631813903,0,10
