model,method,forward_time,backward_time,total_time,total_time_std,peak_memory_bytes,n_runs
gst_small,AD,0.0026872760150581597,0.003134720865637064,0.005821996880695224,2.4704741907161624e-05,0,10
gst_small,FD,0.29182403171435,0.0,0.29182403171435,0.0005526183042594654,0,10
gst_coreg2_small,AD,0.032243304420262575,0.048495244979858396,0.08073854940012097,5.071820250309928e-05,0,10
gst_coreg2_small,FD,1.3129353777971118,0.0,1.3129353777971118,0.0028262781733853853,0,10
gst_medium,AD,0.30324521820293737,0.39643346831435344,0.6996786865172908,0.00018184251573141784,0,10
gst_medium,FD,2.72810310870409,0.0,2.72810310870409,0.026134664717708988,0,10
gst_coreg3_small,AD,0.03329201773740351,0.06190956886857748,0.09520158660598099,7.451410681125561e-05,0,10
gst_coreg3_small,FD,2.866355796798598,0.0,2.866355796798598,0.01833544329623832,0,10
gst_large,AD,7.233065099001396,15.958353242697193,23.19141834169859,0.008512554343678693,0,10
sa1,AD,9.512220168299972,22.698050575685922,32.210270743985895,0.07249791629389189,0,10
gst_large,FD,56.319602581707294,0.0,56.319602581707294,0.023342066611439467,0,10
sa1,FD,256.23264762489123,0.0,256.23264762489123,0.16233011266415578,0,10
