model,method,n_nodes,n_tasks,n_hyperparams,gradient_time_mean,gradient_time_std,power_mean_w,power_std_w,energy_mean_j,energy_std_j,node_joules_per_grad,gpu_joules_per_grad,other_joules_per_grad,timestamp
sa1,finite_diff,2,2,15,129.909733,0.116784,0.00,0.00,0.00,0.00,138908.90,103390.10,14694.70,2026-03-15T16:07:58.261010
wa2,jax_autodiff,4,4,15,138.874409,0.931905,0.00,0.00,0.00,0.00,112976.20,68267.00,17795.00,2026-03-15T16:05:36.421009
ap1,finite_diff,16,16,15,125.305244,0.263591,0.00,0.00,0.00,0.00,113527.80,76974.80,17049.00,2026-03-15T16:11:21.189745
wa2,finite_diff,32,32,15,85.797896,0.163074,0.00,0.00,0.00,0.00,74921.90,49630.00,-42998.50,2026-03-15T16:28:05.572658
wa1,finite_diff,8,8,15,107.165441,0.444305,0.00,0.00,0.00,0.00,92116.40,60238.80,14445.90,2026-03-15T16:18:20.116449
wa2,finite_diff,16,16,15,171.269125,0.297505,0.00,0.00,0.00,0.00,150493.20,102239.80,22899.90,2026-03-15T16:18:40.755942
sa1,finite_diff,1,1,15,254.041416,0.195778,0.00,0.00,0.00,0.00,279320.50,203125.00,34589.30,2026-03-15T16:07:22.760221
wa1,finite_diff,4,4,15,208.919693,0.867432,0.00,0.00,0.00,0.00,186457.40,119912.60,41498.50,2026-03-15T16:12:48.192459
ap1,finite_diff,8,8,15,249.128466,0.297032,0.00,0.00,0.00,0.00,224116.80,147387.60,42384.80,2026-03-15T16:11:55.447850
ap1,finite_diff,4,4,15,479.874299,0.484423,0.00,0.00,0.00,0.00,442583.10,296920.90,71192.30,2026-03-15T16:10:13.207074
wa2,finite_diff,4,4,15,614.069116,0.367168,0.00,0.00,0.00,0.00,560901.60,379939.80,68196.20,2026-03-15T16:26:51.162955
sa1,finite_diff,8,8,15,33.081594,0.184431,0.00,0.00,0.00,0.00,35876.20,26040.40,4165.70,2026-03-15T19:13:37.274856
sa1,finite_diff,64,64,15,5.492948,0.159889,0.00,0.00,0.00,0.00,5590.90,3927.20,686.50,2026-03-15T23:40:44.303786
wa2,finite_diff,64,64,15,44.011951,0.148031,0.00,0.00,0.00,0.00,38981.20,26035.50,6707.40,2026-03-15T23:38:30.042149
wa2,finite_diff,8,8,15,338.754715,0.197193,0.00,0.00,0.00,0.00,323433.67,201944.00,64294.33,2026-03-15T23:56:04.752064
gst_temperature,jax_autodiff,1,1,4,17.121669,0.009754,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2026-03-25T02:00:00.000000
gst_temperature,finite_diff,1,1,4,47.505820,0.061207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2026-03-25T02:00:00.000000
sa1,finite_diff,128,128,15,5.864702,0.098584,0.00,0.00,0.00,0.00,4867.40,3367.70,595.10,2026-03-29T11:46:46.141069
wa1,finite_diff,128,128,15,7.815253,0.085023,0.00,0.00,0.00,0.00,6480.30,4453.60,817.10,2026-03-29T11:50:08.587605
wa2,finite_diff,128,128,15,23.096444,0.225393,0.00,0.00,0.00,0.00,19334.00,13053.10,2737.00,2026-03-29T12:00:10.643584
