model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
wa2_small,AD,3.0,4,1,1,46,-94561.23321962357,0.4410600545005584,44.91
wa2_small,AD,3.0,5,1,1,83,-94561.23464202881,0.4351605130286077,51.09
wa2_small,AD,3.0,6,1,1,46,-94561.2159318924,0.41909185381412856,47.6
wa2_small,AD,3.0,7,1,1,66,-94561.2346611023,0.43494181322286496,52.22
wa2_small,AD,3.0,8,1,1,68,-94561.23456525803,0.4349201446652035,51.03
wa2_small,AD,3.0,9,1,1,51,-94561.22929096222,0.44039659009920656,45.91
wa2_small,AD,3.0,10,1,1,55,-94561.22611999512,0.4253697583888347,45.51
wa2_small,AD,3.0,11,1,1,59,-94561.2322382927,0.4412103193538837,46.54
wa2_small,AD,3.0,12,1,1,53,-94561.23459720612,0.4350147459440062,46.69
wa2_small,AD,3.0,13,1,1,68,-94561.23402738571,0.43194472035047216,49.92
wa2_small,AD,3.0,14,1,1,62,-94561.23310422897,0.44004039425891894,49.26
wa2_small,AD,3.0,15,1,1,75,-94561.23447608948,0.43388766173792176,50.03
wa2_small,AD,3.0,16,1,1,46,-94561.23437452316,0.43397883998828085,45.75
wa2_small,AD,3.0,17,1,1,57,-94561.23466062546,0.4352892936511936,47.76
wa2_small,AD,3.0,18,1,1,58,-94561.2335100174,0.43397898697295517,47.4
wa2_small,AD,3.0,19,1,1,55,-94561.23449897766,0.4339194632386691,46.69
wa2_small,AD,5.0,0,1,1,51,-94561.23378229141,0.43740630006020315,45.07
wa2_small,AD,5.0,1,1,1,80,-94561.2344007492,0.4344747368437324,50.56
wa2_small,AD,5.0,2,1,1,71,-94561.23369789124,0.4332700976248158,52.4
wa2_small,AD,5.0,3,1,1,98,-94561.23417329788,0.43734074252153,56.77
wa2_small,AD,5.0,4,1,1,78,-94561.2340798378,0.4323263680271985,51.26
wa2_small,AD,5.0,5,1,1,92,-94561.23451042175,0.43355153643166466,53.14
wa2_small,AD,5.0,6,1,1,49,-94561.21324062347,0.41805188103751506,44.36
wa2_small,AD,5.0,7,1,1,80,-94561.23451566696,0.4361589742247899,49.32
wa2_small,AD,5.0,8,1,1,86,-94561.23461961746,0.43449901866890583,53.61
wa2_small,AD,5.0,9,1,1,56,-94561.23274612427,0.43864482903451396,47.65
wa2_small,AD,5.0,10,1,1,51,-94561.23240566254,0.43937838854021394,45.25
wa2_small,AD,5.0,11,1,1,69,-94561.23445701599,0.43641841137577647,48.34
wa2_small,AD,5.0,12,1,1,57,-94561.23445653915,0.43248212407356385,47.33
wa2_small,AD,5.0,13,1,1,80,-94561.23461961746,0.43365801807007837,51.84
wa2_small,AD,5.0,14,1,1,75,-94561.23446702957,0.4349103729714208,50.34
wa2_small,AD,5.0,15,1,1,33,-94260.99164390564,1.9182697229323253,48.25
wa2_small,AD,5.0,16,1,1,55,-94561.23402786255,0.440558778625062,45.61
wa2_small,AD,5.0,17,1,1,57,-94561.22877120972,0.4287015320635537,47.5
wa2_small,AD,5.0,18,1,1,94,-94561.23391914368,0.4322269877288171,56.22
wa2_small,AD,5.0,19,1,1,64,-94561.23453569412,0.4363056717084038,48.9
wa2_small,AD,7.0,0,1,1,73,-94561.23456096649,0.43581259187253446,50.7
wa2_small,AD,7.0,1,1,1,94,-94561.23467206955,0.4349143164283056,55.1
wa2_small,AD,7.0,2,1,1,79,-94561.23469591141,0.43502875007058484,52.38
wa2_small,AD,7.0,3,1,1,104,-94561.23465633392,0.43541634009046976,56.83
wa2_small,AD,7.0,4,1,1,58,-94533.15340518951,1.2469436062179093,53.98
wa2_small,AD,7.0,5,1,1,72,-94543.05149078369,1.5737192919307461,47.37
wa2_small,AD,7.0,6,1,1,55,-94561.2214975357,0.42154886830676896,43.37
wa2_small,AD,7.0,7,1,1,88,-94561.23449420929,0.43396120836798596,53.44
wa2_small,AD,7.0,8,1,1,114,-94561.23459482193,0.43530317448929723,59.94
wa2_small,AD,7.0,9,1,1,63,-94561.23247861862,0.4385744296944528,47.88
wa2_small,AD,7.0,10,1,1,85,-94561.23376607895,0.4383296627791823,53.79
wa2_small,AD,7.0,11,1,1,75,-94561.23433065414,0.43564694761840256,50.67
wa2_small,AD,7.0,12,1,1,72,-94561.21826648712,0.4199742003034084,51.11
wa2_small,AD,7.0,13,1,1,94,-94561.23412275314,0.4376760951610788,55.62
wa2_small,AD,7.0,14,1,1,80,-94561.23355150223,0.43162924189213137,53.46
wa2_small,AD,7.0,15,1,1,63,-94273.27048921585,1.4655040820351533,56.74
wa2_small,AD,7.0,16,1,1,60,-94561.22648906708,0.4306454452761337,48.66
wa2_small,AD,7.0,17,1,0,45,-69129.63762283325,6.9468514670884,52.26
wa2_small,AD,7.0,18,1,1,101,-94561.23458909988,0.4360051327065502,55.97
wa2_small,AD,7.0,19,1,1,64,-94561.23453855515,0.43382836810960645,50.19
wa2_small,AD,10.0,0,1,1,86,-94561.23462867737,0.4351683310630925,53.17
wa2_small,AD,10.0,1,1,1,137,-94561.23462724686,0.43535743858453285,63.2
wa2_small,AD,10.0,2,1,1,119,-94561.23468017578,0.43512224164261265,58.11
wa2_small,AD,10.0,3,1,1,119,-94561.23455905914,0.43474878824423785,57.51
wa2_small,AD,10.0,4,1,1,48,-94159.71503305435,4.83625964942694,53.94
wa2_small,AD,10.0,5,1,0,45,-75712.25065279007,7.42596728399478,52.34
wa2_small,AD,10.0,6,1,0,33,-91295.83798599243,7.98074089324248,47.9
wa2_small,AD,10.0,7,1,1,98,-94561.2346162796,0.43542734423026014,53.5
wa2_small,AD,10.0,8,1,1,56,-93951.49416971207,4.533698285922358,55.07
wa2_small,AD,10.0,9,1,0,10,-62571.88563346863,9.441688067037392,45.93
wa2_small,AD,10.0,10,1,1,89,-94561.22624826431,0.4492750111325654,54.13
wa2_small,AD,10.0,11,1,1,92,-94561.23460578918,0.43356600928806016,57.02
wa2_small,AD,10.0,12,1,1,106,-94561.2341747284,0.43417417283530707,60.02
wa2_small,AD,10.0,13,1,1,112,-94561.23449325562,0.4356917192955199,60.09
wa2_small,AD,10.0,14,1,1,95,-94561.23456907272,0.4353771041120323,57.74
wa2_small,AD,10.0,15,1,0,40,-73336.66927242279,9.781855496978908,52.32
wa2_small,AD,10.0,16,1,1,112,-94561.23440980911,0.43527736456632116,58.34
wa2_small,AD,10.0,17,1,0,61,-68313.22356033325,7.09527733405131,54.19
wa2_small,AD,10.0,18,1,1,117,-94561.23470783234,0.43496994813575335,62.27
wa2_small,AD,10.0,19,1,1,97,-94561.23431253433,0.4340215178848902,56.98
wa2_small,FD,0.5,0,1,1,43,-94561.23463916779,0.43537791287105787,197.77
wa2_small,FD,0.5,1,1,1,28,-94561.22950983047,0.4410239238178666,166.44
wa2_small,FD,0.5,2,1,1,36,-94561.20201015472,0.4728776437008559,217.91
wa2_small,FD,0.5,3,1,1,39,-94561.23055887222,0.4268926527258164,201.55
wa2_small,FD,0.5,4,1,1,40,-94561.22075843811,0.4244697158643595,182.81
wa2_small,FD,0.5,5,1,1,46,-94561.21743106842,0.4222386834856597,256.46
wa2_small,FD,0.5,6,1,1,33,-94561.23466205597,0.4347333675020043,193.2
wa2_small,FD,0.5,7,1,1,35,-94561.22785949707,0.4504417278303497,206.74
wa2_small,FD,0.5,8,1,1,38,-94561.23416996002,0.43389473880087126,202.78
wa2_small,FD,0.5,9,1,1,48,-94561.23441791534,0.43349818316587546,269.14
wa2_small,FD,0.5,10,1,1,41,-94561.23360824585,0.43553658403683526,194.99
wa2_small,FD,0.5,11,1,1,28,-94561.22338151932,0.4562255720520472,148.11
wa2_small,FD,0.5,12,1,1,34,-94561.23142337799,0.43238365403807055,175.48
wa2_small,FD,0.5,13,1,1,34,-94561.22175073624,0.42484370449653736,157.26
wa2_small,FD,0.5,14,1,1,36,-94561.1738986969,0.49144703013947294,163.1
wa2_small,FD,0.5,15,1,1,34,-94561.23361063004,0.43093257395656526,162.51
wa2_small,FD,0.5,16,1,1,48,-94561.23439645767,0.43728058243976176,277.12
wa2_small,FD,0.5,17,1,1,33,-94561.22098779678,0.42578956914151167,154.04
wa2_small,FD,0.5,18,1,1,32,-94561.21961688995,0.42255141922748934,168.61
wa2_small,FD,0.5,19,1,1,33,-94561.22289180756,0.43295514807689534,157.63
wa2_small,FD,1.0,0,1,1,50,-94561.23419380188,0.43624987668920046,223.54
wa2_small,FD,1.0,1,1,1,49,-94561.23457813263,0.4350350829647987,246.6
wa2_small,FD,1.0,2,1,1,49,-94561.23457574844,0.4348847819239159,286.64
wa2_small,FD,1.0,3,1,1,46,-94561.23455381393,0.4333213627428572,228.53
wa2_small,FD,1.0,4,1,1,40,-94561.23159360886,0.4352753819082241,191.08
wa2_small,FD,1.0,5,1,1,44,-94561.22380924225,0.424178733683656,197.86
wa2_small,FD,1.0,6,1,1,40,-94561.22036504745,0.4164942338401892,179.33
wa2_small,FD,1.0,7,1,1,52,-94561.2345085144,0.43483875956949797,244.88
wa2_small,FD,1.0,8,1,1,40,-94561.22647428513,0.4498751155183296,218.58
wa2_small,FD,1.0,9,1,1,46,-94561.23372364044,0.4384478392965659,260.02
wa2_small,FD,1.0,10,1,1,35,-94561.19480037689,0.4237662814976944,205.89
wa2_small,FD,1.0,11,1,1,49,-94561.23427438736,0.43549209047260407,246.08
wa2_small,FD,1.0,12,1,1,37,-94561.23419570923,0.4325034088377886,208.42
wa2_small,FD,1.0,13,1,1,42,-94561.22871732712,0.4255893308132383,227.76
wa2_small,FD,1.0,14,1,1,52,-94561.23427581787,0.4363643195945087,265.33
wa2_small,FD,1.0,15,1,1,37,-94561.2294216156,0.446925646088288,188.21
wa2_small,FD,1.0,16,1,1,40,-94561.23186206818,0.4392086422934496,210.51
wa2_small,FD,1.0,17,1,1,53,-94561.23139190674,0.4389254218718283,286.32
wa2_small,FD,1.0,18,1,1,37,-94561.22180366516,0.423190464078399,184.84
wa2_small,FD,1.0,19,1,1,35,-94561.23286819458,0.42802467229479274,184.27
wa2_small,FD,2.0,0,1,1,51,-94561.23465585709,0.43553845719808626,243.88
wa2_small,FD,2.0,1,1,1,56,-94561.2342467308,0.43539384107699014,260.87
wa2_small,FD,2.0,2,1,1,65,-94561.23459672928,0.4359252901160716,321.54
wa2_small,FD,2.0,3,1,1,51,-94561.22990083694,0.4271648085866397,254.77
wa2_small,FD,2.0,4,1,1,41,-94561.22511911392,0.4251377783070498,183.46
wa2_small,FD,2.0,5,1,1,53,-94561.23437070847,0.4366040029152068,236.01
wa2_small,FD,2.0,6,1,1,40,-94561.21895360947,0.4178518780808677,210.36
wa2_small,FD,2.0,7,1,1,49,-94561.23450183868,0.43465795835956333,288.48
wa2_small,FD,2.0,8,1,1,40,-94561.16261005402,0.49576752649054767,216.91
wa2_small,FD,2.0,9,1,1,43,-94561.23030662537,0.43857350223664515,216.54
wa2_small,FD,2.0,10,1,1,42,-94561.20891714096,0.4232787737800677,209.59
wa2_small,FD,2.0,11,1,1,56,-94561.23465824127,0.4352306346321457,301.19
wa2_small,FD,2.0,12,1,1,47,-94561.2344584465,0.4353325902693026,236.35
wa2_small,FD,2.0,13,1,1,47,-94561.19442939758,0.4725621501141231,242.55
wa2_small,FD,2.0,14,1,1,67,-94561.23468446732,0.43493122032949083,349.18
wa2_small,FD,2.0,15,1,1,61,-94561.2346291542,0.43517470052441387,330.73
wa2_small,FD,2.0,16,1,1,40,-94561.23383378983,0.43097496010837955,201.9
wa2_small,FD,2.0,17,1,1,44,-94561.23272705078,0.4289256628088944,226.99
wa2_small,FD,2.0,18,1,1,46,-94561.23224830627,0.441944451239551,247.88
wa2_small,FD,2.0,19,1,1,56,-94561.23450899124,0.4337115122419042,293.09
wa2_small,FD,3.0,0,1,1,52,-94561.23464727402,0.4351562692777155,246.19
wa2_small,FD,3.0,1,1,1,60,-94561.23468494415,0.43519589638228956,302.8
wa2_small,FD,3.0,2,1,1,68,-94561.2345738411,0.43338232494597423,370.4
wa2_small,FD,3.0,3,1,1,78,-94561.23436069489,0.43366377042116394,419.85
wa2_small,FD,3.0,4,1,1,47,-94561.23330593109,0.4399162427789439,217.92
wa2_small,FD,3.0,5,1,1,82,-94561.23329496384,0.4294031282719251,429.16
wa2_small,FD,3.0,6,1,1,46,-94561.21592569351,0.4190555043644098,237.29
wa2_small,FD,3.0,7,1,1,69,-94561.23468589783,0.43507799966411204,380.73
wa2_small,FD,3.0,8,1,1,67,-94561.23454618454,0.43450443487015455,362.75
wa2_small,FD,3.0,9,1,1,51,-94561.23051595688,0.4400064219358897,259.36
wa2_small,FD,3.0,10,1,1,50,-94561.22592020035,0.4266180625299224,220.69
wa2_small,FD,3.0,11,1,1,70,-94561.23409414291,0.43316196332789114,336.09
wa2_small,FD,3.0,12,1,1,55,-94561.23463821411,0.4350721077966504,278.61
wa2_small,FD,3.0,13,1,1,77,-94561.23349523544,0.4306863250652758,415.83
wa2_small,FD,3.0,14,1,1,67,-94561.23453760147,0.4359697735303416,290.61
wa2_small,FD,3.0,15,1,1,69,-94561.23449230194,0.4364005680636801,358.08
wa2_small,FD,3.0,16,1,1,45,-94561.23420619965,0.4325770560906873,231.39
wa2_small,FD,3.0,17,1,1,50,-94561.22567367554,0.42010400263915737,246.68
wa2_small,FD,3.0,18,1,1,65,-94561.23459529877,0.43441429345771476,317.36
wa2_small,FD,3.0,19,1,1,59,-94561.23461294174,0.43597639680961087,301.4
wa2_small,FD,5.0,0,1,1,49,-94561.23359823227,0.4358722440518562,233.6
wa2_small,FD,5.0,1,1,1,90,-94561.2342209816,0.43374804593112115,481.94
wa2_small,FD,5.0,2,1,1,78,-94561.23464345932,0.435142906625998,404.02
wa2_small,FD,5.0,3,1,1,93,-94561.23427152634,0.43646301077616817,481.01
wa2_small,FD,5.0,4,1,1,76,-94561.23452281952,0.434932187020721,347.36
