model,method,n_nodes,n_tasks,n_hyperparams,gradient_time_mean,gradient_time_std,timestamp
gst_small,finite_diff,8,8,4,0.058715,0.000617,2026-02-12T11:23:50.603144
gs_small,finite_diff,8,8,3,0.015102,0.000305,2026-02-12T11:23:59.747612
gr,finite_diff,8,8,1,0.009763,0.000245,2026-02-12T11:24:05.702385
pr,finite_diff,8,8,0,0.000000,0.000000,2026-02-12T11:24:11.100582
pst_small,finite_diff,8,8,3,0.038619,0.000489,2026-02-12T11:24:16.776977
gst_medium,finite_diff,8,8,4,0.603151,0.000338,2026-02-12T11:24:23.080678
gs_coreg2_small,finite_diff,8,8,7,0.073768,0.000681,2026-02-12T11:24:37.268175
gs_coreg3_small,finite_diff,8,8,12,0.172307,0.000420,2026-02-12T11:24:43.108971
gst_coreg2_small,finite_diff,8,8,9,0.201696,0.000493,2026-02-12T11:24:51.064175
gst_coreg3_small,finite_diff,8,8,15,0.351747,0.000895,2026-02-12T11:24:59.080149
