model,method,n_nodes,n_tasks,n_hyperparams,gradient_time_mean,gradient_time_std,source
gs_small,jax_autodiff,1,1,3,0.003191,0.000,GH200_alex_run_output.txt
pst_small,jax_autodiff,1,1,3,0.110154,0.000,GH200_alex_run_output.txt
gst_small,jax_autodiff,1,1,4,0.005182,0.000,GH200_alex_run_output.txt
gst_medium,jax_autodiff,1,1,4,0.732934,0.000,GH200_alex_run_output.txt
gs_coreg2_small,jax_autodiff,1,1,7,0.051046,0.000,GH200_alex_run_output.txt
gs_coreg3_small,jax_autodiff,1,1,12,0.042245,0.000,GH200_alex_run_output.txt
gst_large,jax_autodiff,1,1,4,23.525,0.051,GH200_alex_run_output.txt
gst_coreg2_small,jax_autodiff,1,1,9,0.069760,0.000,GH200_alex_run_output.txt
gst_coreg3_small,jax_autodiff,1,1,15,0.078446,0.000,GH200_alex_run_output.txt
