model,dims,strategy,time_mean,time_std,mem_gib,timestamp
GST-T,365 \times 2865,FD,45.482193,0.029222,61.22,2026-03-25T02:22:38.344060
GST-T,365 \times 2865,AD-Dense,OOM,OOM,OOM,2026-03-25T02:22:38.344060
GST-T,365 \times 2865,AD-Loop,OOM,OOM,OOM,2026-03-25T02:22:38.344060
GST-T,365 \times 2865,AD-Loop-Ckpt,OOM,OOM,OOM,2026-03-25T02:22:38.344060
GST-T,365 \times 2865,AD-BTA,17.077484,0.011260,46.50,2026-03-25T02:22:38.344060
